subject,product,volume_ml,connected_components,nifti_binary,nifti_nonempty,same_product_grid,stl_nonempty,stl_watertight_at_export,mesh_vertices,qc_ok
adam,bones_in_scan_fov,214.3296,14,True,True,True,True,True,380069,True
adam,lungs,1484.8434,2,True,True,True,True,True,785745,True
adam,body_in_scan_fov,5729.9287,1,True,True,True,True,True,906270,True
adam,skeletal_muscle_in_scan_fov,567.4253,9,True,True,True,True,True,601492,True
adam,fat_in_scan_fov,481.8398,150,True,True,True,True,True,1195775,True
nix,bones_in_scan_fov,507.2937,28,True,True,True,True,True,535287,True
nix,lungs,3014.7106,1,True,True,True,True,True,562177,True
nix,body_in_scan_fov,10349.4241,1,True,True,True,True,True,636678,True
nix,skeletal_muscle_in_scan_fov,2266.7659,33,True,True,True,True,True,1005948,True
nix,fat_in_scan_fov,1293.4636,183,True,True,True,True,True,1211714,True
georg,bones_in_scan_fov,174.7925,17,True,True,True,True,True,287514,True
georg,lungs,2786.3902,2,True,True,True,True,True,1098047,True
georg,body_in_scan_fov,7038.1262,1,True,True,True,True,True,1064862,True
georg,skeletal_muscle_in_scan_fov,278.3953,56,True,True,True,True,True,486692,True
georg,fat_in_scan_fov,1124.3416,118,True,True,True,True,True,1415218,True
