phase,rr_percent,time_from_first_phase_ms,mask_volume_ml,tepc_2_Z_ohm,tepc_2_delta_Z_mohm,tepc_3_Z_ohm,tepc_3_delta_Z_mohm,tepc_4_Z_ohm,tepc_4_delta_Z_mohm,tepc_5_Z_ohm,tepc_5_delta_Z_mohm,tepc_6_Z_ohm,tepc_6_delta_Z_mohm,tepc_7_Z_ohm,tepc_7_delta_Z_mohm,ttrkg_Z_ohm,ttrkg_delta_Z_mohm
phase_00,14.0,0.0,624.2556036376952,166.9658325506568,0.0,44.59811527421819,0.0,97.17164361596299,0.0,104.9067394289885,0.0,17.70857954870713,0.0,1.8872903595156885,0.0,482.1758492993495,0.0
phase_01,23.0,73.9800003916025,596.9820373535155,167.5661723504425,600.3397997857007,44.62005274473138,21.937470513194057,97.86311777267676,691.4741567137668,106.03146824650162,1124.7288175131162,17.94311491458634,234.5353658792071,1.9041857703050233,16.895410789334875,482.1840033729306,8.154073581067678
phase_02,33.0,156.18000082671642,569.8517192077636,168.0520594484718,1086.2268978149814,44.73090246956113,132.78719534294225,98.45843982601957,1286.7962100565792,106.95162842276649,2044.8889937779882,18.251855442708905,543.2758940017734,1.917547194085187,30.25683456949846,482.26682235825376,90.97305890423968
phase_03,43.0,238.38000126183033,573.116018218994,168.11186889004608,1146.0363393892692,44.70268612081564,104.57084659745419,98.67971494221405,1508.0713262510558,107.1930317912665,2286.2923622780045,18.170979160725963,462.3996120188316,1.9096344807342085,22.34412121852003,482.23830208105676,62.45278170723623
phase_04,53.0,320.58000169694424,582.2080618286132,167.75756040572747,791.7278550706612,44.686820758477815,88.7054842596271,98.24047304862334,1068.8294326603511,106.59400711094464,1687.2676819561434,18.047070497576804,338.4909488696728,1.9063798756151096,19.08951609942111,482.2330600262518,57.21072690226947
phase_05,62.0,394.56000208854675,620.8729692077635,167.2818232038428,315.99065318599173,44.52208907233219,-76.02620188599474,97.74876499463825,577.1213786752583,106.03533896394048,1128.5995349519737,17.88296908168226,174.38953297512683,1.8748906059012524,-12.399753614436015,482.1028470275883,-73.00227176119733
phase_06,72.0,476.76000252366066,666.0320364379882,166.80161033020147,-164.2222204553434,44.39127671312578,-206.83856109241106,97.09490406772427,-76.73954823872009,104.84919067967563,-57.548749312871905,17.524955088907966,-183.62445979916586,1.839981542896986,-47.308816618702565,481.9865718299386,-189.27746941091073
phase_07,82.0,558.9600029587746,673.3713969421385,166.63178358110667,-334.04896955013896,44.394847001955526,-203.26827226266175,97.02813217388973,-143.51144207326172,104.74420456612549,-162.5348628630121,17.440839452418782,-267.7400962883496,1.8345794365172328,-52.7109229984557,481.99896873133696,-176.8805680125638
phase_08,92.0,641.1600033938885,669.0746855163572,166.68121272569215,-284.61982496466476,44.42771305291858,-170.4022212996108,96.82167978375023,-349.96383221276517,104.22253301993574,-684.2064090527629,17.403051435276694,-305.5281134304373,1.8325137193810583,-54.77664013463013,482.04771796703005,-128.1313323194695
phase_09,101.0,714.7900031507015,670.6145114135741,166.68110906402464,-284.7234866321742,44.40247402226643,-195.64125195175563,96.85398013466113,-317.6634813018637,104.30207811684349,-604.6613121450122,17.377007074149923,-331.57247455720903,1.832834380352221,-54.45597916346756,482.0249006406985,-150.94865865103202
phase_10,111.0,793.4899972379208,646.1234761047363,166.82945306403735,-136.37948661946098,44.499488227000356,-98.62704721783189,97.05278896563343,-118.85465032956688,104.6580173895668,-248.72203942170756,17.54257176528178,-166.00778342534994,1.863487196506525,-23.80316300916352,482.0914099911914,-84.43930815809608
phase_11,121.0,872.18999132514,607.4197341918945,167.29346582758228,327.63327692546795,44.609874836054836,11.759561836647947,97.5742805947532,402.63697879021265,105.55439716523347,647.657736244966,17.875927315182622,167.34776647549054,1.8901821162476269,2.891756731938422,482.18542938042003,9.580081070510005
