scenario,phase,montage,rr_percent,Z_ohm,delta_Z_from_phase00_ohm,max_relative_residual
gabriel_myocardium,phase_00,tepc_2,14.0,103.05559362570025,0.0,2.1992091469543574e-11
gabriel_myocardium,phase_00,tepc_3,14.0,30.176344128363684,0.0,4.3861558646015e-11
gabriel_myocardium,phase_00,tepc_4,14.0,66.46093791092561,0.0,2.6499803229128275e-11
gabriel_myocardium,phase_00,tepc_5,14.0,71.49978832981421,0.0,1.819086960338384e-11
gabriel_myocardium,phase_00,tepc_6,14.0,13.86576587410358,0.0,8.213667841850217e-12
gabriel_myocardium,phase_00,tepc_7,14.0,2.082268702379797,0.0,9.426868261636938e-12
gabriel_myocardium,phase_00,ttrkg,14.0,229.0523092953254,0.0,1.7248622318568105e-10
gabriel_blood,phase_00,tepc_2,14.0,97.22553087855655,0.0,1.94465866869087e-11
gabriel_blood,phase_00,tepc_3,14.0,28.88037034134452,0.0,5.343508748220442e-11
gabriel_blood,phase_00,tepc_4,14.0,59.74427753210465,0.0,2.1140891908506837e-11
gabriel_blood,phase_00,tepc_5,14.0,63.830506081307156,0.0,1.59317348068793e-11
gabriel_blood,phase_00,tepc_6,14.0,11.026465712899087,0.0,9.875869364398584e-12
gabriel_blood,phase_00,tepc_7,14.0,1.5253489259878292,0.0,6.275072374839998e-12
gabriel_blood,phase_00,ttrkg,14.0,227.99220225559947,0.0,1.3142172883380965e-10
lf_mean_myocardium,phase_00,tepc_2,14.0,108.57149240543103,0.0,2.3541399854298075e-11
lf_mean_myocardium,phase_00,tepc_3,14.0,34.5490928507341,0.0,4.500575319606864e-11
lf_mean_myocardium,phase_00,tepc_4,14.0,70.57928162427112,0.0,2.877915387240965e-11
lf_mean_myocardium,phase_00,tepc_5,14.0,75.39817908348448,0.0,2.4864874533450336e-11
lf_mean_myocardium,phase_00,tepc_6,14.0,15.657597924253245,0.0,1.340804026427413e-11
lf_mean_myocardium,phase_00,tepc_7,14.0,2.523320629378045,0.0,7.874582990331395e-12
lf_mean_myocardium,phase_00,ttrkg,14.0,235.18776933643568,0.0,1.2270864587109387e-10
lf_mean_blood,phase_00,tepc_2,14.0,102.36210586164722,0.0,2.191643262306529e-11
lf_mean_blood,phase_00,tepc_3,14.0,33.43338223103882,0.0,4.3950806610112064e-11
lf_mean_blood,phase_00,tepc_4,14.0,63.38572305882844,0.0,2.7830477128160876e-11
lf_mean_blood,phase_00,tepc_5,14.0,67.18279961112972,0.0,2.5419837569830634e-11
lf_mean_blood,phase_00,tepc_6,14.0,12.905808033148121,0.0,1.1883193745684808e-11
lf_mean_blood,phase_00,tepc_7,14.0,1.8742602409659144,0.0,8.207393747361305e-12
lf_mean_blood,phase_00,ttrkg,14.0,234.29333636260608,0.0,1.1369436612177422e-10
gabriel_myocardium,phase_01,tepc_2,23.0,103.10793208668903,0.05233846098877848,1.9634359837040176e-11
gabriel_myocardium,phase_01,tepc_3,23.0,30.183776590147005,0.007432461783320576,6.21330707694653e-11
gabriel_myocardium,phase_01,tepc_4,23.0,66.58832265453637,0.12738474361076157,2.7114937666022187e-11
gabriel_myocardium,phase_01,tepc_5,23.0,71.7524896077386,0.25270127792438757,1.8960716752062443e-11
gabriel_myocardium,phase_01,tepc_6,23.0,13.926456196220647,0.060690322117066486,8.944094072610399e-12
