phase_id,phase_percent,baseline_phase,region,delta_authored_ml,delta_automatic_ml,disagreement_delta_ml,change_authored_percent_of_baseline,change_automatic_percent_of_baseline
phase_00,0,phase_00,LV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,LA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,blood_pool_sum,0.0,0.0,0.0,0.0,0.0
phase_08,40,phase_00,LV,-100.48507948288923,-84.04603258143034,16.439046901458894,-67.44945655234555,-57.631812097525795
phase_08,40,phase_00,RV,-84.11259195611218,-89.09168064029396,-4.979088684181775,-49.090867544134554,-45.34352448866305
phase_08,40,phase_00,LA,33.94919634506653,48.23149577784366,14.28229943277713,82.15508723487771,114.90093139149087
phase_08,40,phase_00,RA,59.618182750723136,66.83847659751066,7.220293846787527,119.29090237596948,107.71789393980364
phase_08,40,phase_00,blood_pool_sum,-91.03029234321173,-58.06774084636993,32.9625514968418,-22.11516119169752,-13.009741830220971
