phase_id,phase_percent,baseline_phase,region,delta_authored_ml,delta_automatic_ml,disagreement_delta_ml,change_authored_percent_of_baseline,change_automatic_percent_of_baseline
phase_00,0,phase_00,LV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,LA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,blood_pool_sum,0.0,0.0,0.0,0.0,0.0
phase_01,5,phase_00,LV,-12.702772759655446,-12.023195950929193,0.679576808726253,-9.952409332328356,-8.244512543579388
phase_01,5,phase_00,RV,0.8423396493347326,-10.971669695451567,-11.8140093447863,0.7000418351694333,-5.584069914741581
phase_01,5,phase_00,LA,1.3591536174524563,6.308598210389398,4.949444592936942,4.267949978923707,15.028847819424636
phase_01,5,phase_00,RA,4.443257751869261,11.21777158503145,6.774513833162189,9.633995488612383,18.07872936892109
phase_01,5,phase_00,blood_pool_sum,-6.058021740998981,-5.468495850959869,0.5895258900391127,-1.858697144426137,-1.2251848992859506
phase_02,10,phase_00,LV,-29.164192560167052,-25.40946077664509,3.7547317835219616,-22.84965555925608,-17.423704891248065
phase_02,10,phase_00,RV,-7.927277456853361,-21.108270933760565,-13.180993476907204,-6.588109515176876,-10.743128798553874
phase_02,10,phase_00,LA,5.186597322895729,11.513093852527298,6.326496529631569,16.28670788253478,27.427414089461543
phase_02,10,phase_00,RA,6.167648946357289,16.839521794502495,10.671872848145206,13.372868611899381,27.13882654119004
phase_02,10,phase_00,blood_pool_sum,-25.737223747767416,-18.16511606337582,7.572107684391597,-7.8965884129599235,-4.069789298773674
phase_03,15,phase_00,LV,-46.03279912343808,-42.58233876703305,3.4504603564050313,-36.06592578309874,-29.19944310419551
phase_03,15,phase_00,RV,-21.880695273555574,-32.49216129425844,-10.611466020702863,-18.184353646632267,-16.53699987189888
phase_03,15,phase_00,LA,7.493802537706998,16.82442008764191,9.330617549934914,23.531684698608974,40.08048075257497
phase_03,15,phase_00,RA,11.088568093002024,25.171189401733677,14.082621308731653,24.042542870309727,40.56626734092322
phase_03,15,phase_00,blood_pool_sum,-49.331123766284634,-33.07889057191585,16.252233194368785,-15.135571114772105,-7.411134307934053
phase_04,20,phase_00,LV,-61.27992982786357,-56.683417717483195,4.596512110380374,-48.011796876369445,-38.86879580870706
phase_04,20,phase_00,RV,-25.286409831855167,-46.56079954108213,-21.274389709226966,-21.01473527634454,-23.697282833027305
phase_04,20,phase_00,LA,13.018789958775045,22.419322818249697,9.400532859474652,40.88098918083464,53.40910605071353
phase_04,20,phase_00,RA,11.057246034328223,40.81767635425013,29.76043031992191,23.97462950835576,65.78238099101291
phase_04,20,phase_00,blood_pool_sum,-62.49030366661549,-40.00721808606545,22.48308558055004,-19.17301619989018,-8.963386056676534
phase_05,25,phase_00,LV,-66.53979839515694,-67.21825655893052,-0.678458163773584,-52.132815649704646,-46.092716247780274
phase_05,25,phase_00,RV,-27.706038864406324,-61.94776086458711,-34.241722000180786,-23.025612420396968,-31.528530964886063
phase_05,25,phase_00,LA,15.069825479432716,29.801260860693105,14.73143538126039,47.321554025572574,70.99494996602218
phase_05,25,phase_00,RA,7.447938094648926,50.58624340314196,43.13830530849303,16.148827281767684,81.52555053769255
phase_05,25,phase_00,blood_pool_sum,-71.7280736854816,-48.778513159682575,22.94956052579903,-22.00731054365733,-10.928544038736748
