phase_id,phase_percent,region,authored_ml,automatic_ml,disagreement_ml,authored_method,reference_accepted,whole_chamber_confirmed
phase_00,0,LV,127.63515180583559,145.8327085728379,18.19755676700231,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_00,0,RV,120.32704433026613,196.48159609332745,76.15455176306132,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_00,0,LA,31.845584511634975,41.97659252518079,10.131008013545816,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_00,0,RA,46.120612752219984,62.04955755527697,15.928944803056986,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_00,0,blood_pool_sum,325.9283933999567,446.3404547466231,120.4120613466664,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_01,5,LV,114.93237904618015,133.8095126219087,18.877133575728564,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_01,5,RV,121.16938397960087,185.5099263978759,64.34054241827502,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_01,5,LA,33.20473812908743,48.28519073557019,15.080452606482758,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_01,5,RA,50.563870504089245,73.26732914030842,22.703458636219175,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_01,5,blood_pool_sum,319.8703716589577,440.8719588956632,121.00158723670552,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_02,10,LV,98.47095924566854,120.42324779619281,21.952288550524273,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_02,10,RV,112.39976687341277,175.3733251595669,62.973558286154116,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_02,10,LA,37.032181834530704,53.48968637770809,16.457504543177386,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_02,10,RA,52.28826169857727,78.88907934977946,26.600817651202192,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_02,10,blood_pool_sum,300.1911696521893,428.1753386832473,127.984169031058,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_03,15,LV,81.60235268239751,103.25036980580485,21.648017123407342,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_03,15,RV,98.44634905671056,163.98943479906902,65.54308574235846,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
phase_03,15,LA,39.33938704934197,58.8010126128227,19.46162556348073,CT-only BSpline transport of authored search domains then target-phase HU filtering and largest6connectedcomponent,False,False
