phase_id,phase_percent,baseline_phase,region,delta_authored_ml,delta_automatic_ml,disagreement_delta_ml,change_authored_percent_of_baseline,change_automatic_percent_of_baseline
phase_00,0,phase_00,LV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RV,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,LA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,RA,0.0,0.0,0.0,0.0,0.0
phase_00,0,phase_00,blood_pool_sum,0.0,0.0,0.0,0.0,0.0
phase_05,25,phase_00,LV,-66.53979839515694,-67.21825655893052,-0.678458163773584,-52.132815649704646,-46.092716247780274
phase_05,25,phase_00,RV,-27.706038864406324,-61.94776086458711,-34.241722000180786,-23.025612420396968,-31.528530964886063
phase_05,25,phase_00,LA,15.069825479432716,29.801260860693105,14.73143538126039,47.321554025572574,70.99494996602218
phase_05,25,phase_00,RA,7.447938094648926,50.58624340314196,43.13830530849303,16.148827281767684,81.52555053769255
phase_05,25,phase_00,blood_pool_sum,-71.7280736854816,-48.778513159682575,22.94956052579903,-22.00731054365733,-10.928544038736748
phase_10,50,phase_00,LV,-73.31151561593754,-69.42478372800457,3.8867318879329673,-57.43834247751932,-47.60576993146193
phase_10,50,phase_00,RV,-24.46029053433365,-81.92508175123292,-57.46479121689927,-20.32817366243667,-41.69605875571117
phase_10,50,phase_00,LA,20.165812561164948,42.210948642757984,22.045136081593036,63.32373190951244,100.55830190941919
phase_10,50,phase_00,RA,12.084162100847855,65.42842463471328,53.344262533865425,26.201217589560738,105.44543299350079
phase_10,50,phase_00,blood_pool_sum,-65.52183148825839,-43.710492201766215,21.81133928649217,-20.103137012630423,-9.793083225355323
phase_15,75,phase_00,LV,-10.481703206197125,-5.428224632665035,5.0534785735320895,-8.212238601903628,-3.7222271229734742
phase_15,75,phase_00,RV,-2.7009682381390547,-3.6439859332109847,-0.94301769507193,-2.244689257658159,-1.8546194685226984
phase_15,75,phase_00,LA,12.296704641848656,15.796944698645959,3.5002400567973027,38.61353098215541,37.63274660555103
phase_15,75,phase_00,RA,3.1741550531039806,16.989420218155693,13.815265165051713,6.882291590870494,27.38040509478353
phase_15,75,phase_00,blood_pool_sum,2.288188250616429,23.71415435092564,21.42596610030921,0.7020524437122369,5.3130192656158854
