evaluation,u_mm,v_mm,phi_deg,failed_grid_count,max_offset_among_passed_mm,max_area_ratio_among_passed,skin_lung_depth_mm,last_failure
1,5.87975438606791,26.6547663507263,-6.875,5,4.56278084763229,1.19691657726533,26.7967707257214,trkg4:electrodeDiagnostics
2,5.87975438606791,22.6547663507263,-6.875,6,4.22250970759608,1.12985629772254,27.5469797041731,trkg4:electrodeDiagnostics
3,5.87975438606791,30.6547663507263,-6.875,5,4.48082001150382,1.16490417359553,26.2719405856542,trkg4:electrodeDiagnostics
4,5.87975438606791,18.6547663507263,-6.875,1,3.38867291804032,1.23624633461013,28.5123961508216,trkg4:electrodeDiagnostics
5,5.87975438606791,34.6547663507263,-6.875,6,4.47119772538628,1.35077031491102,25.7903069244687,trkg4:electrodeDiagnostics
6,5.87975438606791,10.6547663507263,-6.875,1,4.04660073332417,1.32254309223329,30.7675802962327,trkg4:electrodeDiagnostics
7,5.87975438606791,42.6547663507263,-6.875,9,0,0,25.3079502113636,trkg4:electrodeDiagnostics
8,1.87975438606791,26.6547663507263,-6.875,8,1.61688397539759,1.07308369613568,27.4863625146479,trkg4:electrodeDiagnostics
9,1.87975438606791,22.6547663507263,-6.875,5,3.83912569551871,1.07359671071551,28.164118016543,trkg4:electrodeDiagnostics
10,1.87975438606791,30.6547663507263,-6.875,8,4.48669404244587,1.0996667327963,27.0702994301869,trkg4:electrodeDiagnostics
11,1.87975438606791,18.6547663507263,-6.875,1,4.62397377291166,1.16711683751406,29.002263114713,trkg4:electrodeDiagnostics
12,1.87975438606791,34.6547663507263,-6.875,7,4.32348403275407,1.17686145085102,26.4886070351442,trkg4:electrodeDiagnostics
13,1.87975438606791,10.6547663507263,-6.875,0,4.3913525038689,1.38255681382189,31.1033785118049,
14,1.87975438606791,42.6547663507263,-6.875,9,0,0,25.7324679264597,trkg4:electrodeDiagnostics
15,9.87975438606791,26.6547663507263,-6.875,6,1.82597383751224,1.36561287989272,26.2150169826396,trkg4:electrodeDiagnostics
16,9.87975438606791,22.6547663507263,-6.875,3,4.71896878800409,1.25660882780571,27.1630723004781,trkg4:electrodeDiagnostics
17,9.87975438606791,30.6547663507263,-6.875,5,4.69486698700599,1.21740225986577,25.6623074899271,trkg4:electrodeDiagnostics
18,9.87975438606791,18.6547663507263,-6.875,1,3.07079603973441,1.20088114763964,28.173380379797,trkg4:electrodeDiagnostics
19,9.87975438606791,34.6547663507263,-6.875,5,3.91059663453622,1.30279275443921,25.2635663178796,trkg4:electrodeDiagnostics
20,9.87975438606791,10.6547663507263,-6.875,0,3.87747158200018,1.22745387165611,30.0069235034938,
21,9.87975438606791,42.6547663507263,-6.875,9,0,0,24.4466452402334,trkg4:electrodeDiagnostics
22,-2.12024561393209,26.6547663507263,-6.875,8,4.65868625817419,1.33962015988356,28.3402441581203,trkg4:electrodeDiagnostics
23,-2.12024561393209,22.6547663507263,-6.875,2,4.31820266569529,1.32299254068054,29.0838099222733,trkg4:electrodeDiagnostics
24,-2.12024561393209,30.6547663507263,-6.875,9,0,0,27.7938677813253,trkg4:electrodeDiagnostics
25,-2.12024561393209,18.6547663507263,-6.875,2,4.63772331551717,1.34714831767919,29.7489023519386,trkg4:electrodeDiagnostics
26,-2.12024561393209,34.6547663507263,-6.875,7,4.40729774838405,1.35077031491102,26.8502952693374,trkg4:electrodeDiagnostics
27,-2.12024561393209,10.6547663507263,-6.875,0,3.86325925456005,1.24993883589342,32.2159007250251,
