evaluation,rho_soft_ohm_m,rho_lungs_ohm_m,centre_u_mm,centre_v_mm,phi_deg,objective,fem_slope_ohm_per_mm,h_centre_mm,status,failure_code,engine_version,engine_fingerprint,centre_x_mm,centre_y_mm,centre_z_mm,normal_x,normal_y,normal_z,axis_x,axis_y,axis_z,reconstructed_h_vertex_mm
1,5.3646664546649,24.7069468090815,1.87975438606791,10.6547663507263,-6.875,70.1450696326395,-0.417861242887342,31.1033785118049,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.944311083259,-26.5556889167406,-127.442076627245,-0.791395525183078,-0.607736360431558,-0.0659517924669548,-0.000961209508027749,0.109123970029057,-0.994027683337531,31.1033785118049
2,5.3646664546649,24.7069468090815,9.87975438606791,10.6547663507263,-6.875,72.5338621847031,-0.6896943997174,30.0069235034938,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.5,-26.6709556542625,-135.362391721404,-0.807712334674029,-0.587935981721431,-0.0439552705905195,-0.0179280063794249,0.0990122363894813,-0.994924702493818,30.0069235034938
3,5.3646664546649,24.7069468090815,-2.12024561393209,10.6547663507263,-6.875,62.8507192130599,-0.496064415766364,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.009428898552394,0.116516527787831,-0.993143994909276,32.2159007250251
4,4.6146664546649,24.7069468090815,-2.12024561393209,10.6547663507263,-6.875,110.588695465532,-0.421183754590474,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.009428898552394,0.116516527787831,-0.993143994909276,32.2159007250251
5,6.1146664546649,24.7069468090815,-2.12024561393209,10.6547663507263,-6.875,59.7890384142505,-0.572042333419886,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.009428898552394,0.116516527787831,-0.993143994909276,32.2159007250251
6,5.3646664546649,21.7069468090815,-2.12024561393209,10.6547663507263,-6.875,63.5583529764347,-0.500702299983457,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.009428898552394,0.116516527787831,-0.993143994909276,32.2159007250251
7,5.3646664546649,27.7069468090815,-2.12024561393209,10.6547663507263,-6.875,62.5617923671276,-0.49218898477771,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.009428898552394,0.116516527787831,-0.993143994909276,32.2159007250251
8,5.3646664546649,24.7069468090815,-12.1202456139321,10.6547663507263,-6.875,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-161.441302466324,-27.0586975336759,-113,-0.770331027075042,-0.619563853002914,-0.150767174072128,0.064324952602759,0.159731066014964,-0.985062580256897,34.3298681060209
9,5.3646664546649,24.7069468090815,7.87975438606791,10.6547663507263,-6.875,48.2594070941804,-0.485645658418825,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,-0.0180595764169955,0.0985010990854834,-0.994973057513916,30.4849289802345
10,5.3646664546649,24.7069468090815,-2.12024561393209,0.6547663507263,-6.875,115.053918636209,-0.481214938930827,35.4362230486578,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-165.9626991275,-18.5373008724996,-123.666410927236,-0.835240818303035,-0.548357933172217,-0.0409432847677181,-0.0193214105365508,0.103678597755178,-0.994423165187939,35.4362230486578
11,5.3646664546649,24.7069468090815,-2.12024561393209,20.6547663507263,-6.875,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-154.5,-35,-123.297427233094,-0.800774686995117,-0.598011602348145,-0.0337938474411621,-0.0262161364332123,0.0913595572641394,-0.995472825087162,29.6075552391005
12,5.3646664546649,24.7069468090815,-2.12024561393209,10.6547663507263,-11.875,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,-0.0445499839930211,0.184120603640543,-0.981893528974126,32.2159007250251
13,5.3646664546649,24.7069468090815,-2.12024561393209,10.6547663507263,-1.875,62.495007200483,-0.465472313073985,32.2159007250251,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-160.5,-26.9395800422231,-123.060419957777,-0.785392276323759,-0.613874907874157,-0.0794768505508332,0.0633360214865007,0.0480256908040506,-0.996836035366426,32.2159007250251
14,4.6146664546649,24.7069468090815,7.87975438606791,10.6547663507263,-6.875,96.6864290257237,-0.411876060136471,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,-0.0180595764169955,0.0985010990854834,-0.994973057513916,30.4849289802345
15,6.1146664546649,24.7069468090815,7.87975438606791,10.6547663507263,-6.875,44.8297712009917,-0.560662655974904,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,-0.0180595764169955,0.0985010990854834,-0.994973057513916,30.4849289802345
