mesh,step,metric,individual_ohm_per_ml,sphere_ohm_per_ml,ellipsoid_ohm_per_ml,sphere_absolute_relative_error,ellipsoid_absolute_relative_error,preference_margin_sphere_minus_ellipsoid,preferred
coarse,0.005,Sminus,-0.012446145163979372,-0.007881602392262876,-0.014354749258530496,0.36674349459837785,0.15334901444624405,0.2133944801521338,ellipsoid
coarse,0.005,derivative,-0.015646465993526155,-0.007934909857116217,-0.01428953782151564,0.49286248662162135,0.08672425917596695,0.4061382274456544,ellipsoid
coarse,0.005,Splus,-0.01884678682307294,-0.007988217321969557,-0.014224326384500786,0.5761496430685955,0.24526517342007423,0.33088446964852125,ellipsoid
coarse,0.01,Sminus,-0.012475000550133793,-0.007917606273376137,-0.014399993589065303,0.3653221704033335,0.15430805242817128,0.2110141179751622,ellipsoid
coarse,0.01,derivative,-0.015545879149488693,-0.00794370070380806,-0.014360066129676802,0.4890156659895732,0.07627828625252708,0.4127373797370461,ellipsoid
coarse,0.01,Splus,-0.01861675774884359,-0.007969795134239984,-0.014320138670288302,0.5719020872614061,0.23079309171448925,0.34110899554691687,ellipsoid
fine,0.005,Sminus,-0.011606795380831252,-0.007820868762079361,-0.014194683562275226,0.32618190418040705,0.2229631949674843,0.10321870921292275,ellipsoid
fine,0.005,derivative,-0.01591547940661172,-0.007802859960852202,-0.014204623133983378,0.5097313903336972,0.10749637060367821,0.40223501973001896,ellipsoid
fine,0.005,Splus,-0.020224163432392188,-0.007784851159625042,-0.014214562705691531,0.6150717835301719,0.2971495333683535,0.3179222501618184,ellipsoid
fine,0.01,Sminus,-0.011686594497961991,-0.007812863594340521,-0.01421303775018501,0.33146789719597136,0.2161830165891014,0.11528488060686995,ellipsoid
fine,0.01,derivative,-0.01570980753091142,-0.007799081253663163,-0.014193979395734354,0.5035533542777472,0.09648928748455045,0.40706406679319673,ellipsoid
fine,0.01,Splus,-0.01973302056386085,-0.007785298912985804,-0.014174921041283699,0.605468463999686,0.28166491311301234,0.3238035508866737,ellipsoid
