L_mm,electrode,nominal_area_mm2,actual_area_mm2,area_relative_error,centroid_error_mm,radial_extent_mm,faces
50,1,19.6349540849362,19.6745553754825,0.00201687716584265,0.446579451429195,2.57997093006879,1299
50,2,19.6349540849362,19.6503708926624,0.000785171570023557,0.228595488740518,2.54122403962764,1326
50,3,19.6349540849362,19.6650111377146,0.00153079312782722,0.148043608651031,2.53510082122856,1009
50,4,19.6349540849362,19.7127778981284,0.00396353425913443,0.3012322057071,2.5309653818897,1266
60,1,19.6349540849362,19.6586267728141,0.0012056400934497,0.450823465159283,2.57580387937436,979
60,2,19.6349540849362,19.6598692838424,0.00126892066049145,0.405357076609838,2.57192954763531,1033
60,3,19.6349540849362,19.6596905263387,0.00125981661558749,0.327939967260048,2.56157426889369,1115
60,4,19.6349540849362,19.6917475121403,0.00289246549589373,0.448553311280654,2.57694101601104,1142
70,1,19.6349540849362,19.6631191067507,0.00143443278210187,0.482332978198926,2.589039397151,876
70,2,19.6349540849362,19.6488639780565,0.000708425039352978,0.413314515022923,2.56823430077255,1283
70,3,19.6349540849362,19.6387803148339,0.000194868288519778,0.0835061556593487,2.50331971090018,1536
70,4,19.6349540849362,19.6429814064918,0.000408828129716543,0.382231186836606,2.54228143912594,1355
80,1,19.6349540849362,19.7120340167782,0.00392564869306766,0.454755079664915,2.57997093006879,844
80,2,19.6349540849362,19.6356494020497,3.54122098009668e-05,0.391170010145003,2.56850110685431,2007
80,3,19.6349540849362,19.6703677160285,0.00180360142117597,0.0277726578560632,2.51359108158505,1984
80,4,19.6349540849362,19.6529811041947,0.000918108551743124,0.381592813422121,2.54581484421813,1464
90,1,19.6349540849362,19.7089695419791,0.00376957627314534,0.450005507357961,2.59957929288568,823
90,2,19.6349540849362,19.6433936757522,0.000429824830730396,0.388597036565889,2.55686088206494,1928
90,3,19.6349540849362,19.7213430462032,0.00439975366855072,0.430169441811784,2.57899483851046,1667
90,4,19.6349540849362,19.6632058425233,0.00143885019872436,0.393373244644769,2.57879943261024,1409
110,1,19.6349540849362,19.6593849684873,0.00124425468200262,0.384285952958343,2.60600251816066,1111
110,2,19.6349540849362,19.6739928887455,0.00198822995156744,0.414066579301806,2.58926357931765,1576
110,3,19.6349540849362,19.6459761740637,0.000561350389708171,0.381088144704808,2.5379484992158,1412
110,4,19.6349540849362,19.6599268433488,0.00127185214208358,0.389590990295965,2.57326501492838,1422
120,1,19.6349540849362,19.6662293258626,0.00159283494074658,0.398683586321423,2.61723529505036,836
120,2,19.6349540849362,19.6586267728141,0.0012056400934497,0.450823465159283,2.57580387937436,979
120,3,19.6349540849362,19.6917475121403,0.00289246549589373,0.448553311280654,2.57694101601104,1142
120,4,19.6349540849362,19.6678787162807,0.00167683770494609,0.38242068607376,2.53678035872584,1521
130,1,19.6349540849362,19.6505283601351,0.000793191322552955,0.159919973753152,2.54914629950597,1009
130,2,19.6349540849362,19.6588962157953,0.00121936271179979,0.441984544308116,2.58596339631806,988
130,3,19.6349540849362,19.6454927960917,0.000536732151748875,0.338562417755074,2.52463592906608,1132
130,4,19.6349540849362,19.6560155021047,0.00107264916828131,0.382252417263984,2.52685344140954,2048
140,1,19.6349540849362,19.6658739068084,0.00157473359695404,0.449354664912034,2.59280856408644,1026
140,2,19.6349540849362,19.6631191067507,0.00143443278210187,0.482332978198926,2.589039397151,876
140,3,19.6349540849362,19.6429814064918,0.000408828129716543,0.382231186836606,2.54228143912594,1355
140,4,19.6349540849362,19.6769830571784,0.00214051797933323,0.384290910312898,2.55320665813381,3215
