sigma_ohm,threshold_pct,minimum_k,selected_subset_id,selected_sizes_mm,scenario_linearized_log_parameter_change_pct,worst_max_unit_logrho_error,worst_kappa,g1,g2,attenuation_relative_full9,meets_scenario_threshold
0.01,1.0,None,None,None,None,None,None,None,None,None,False
0.01,5.0,2,50-140,50|140,4.671284475511923,4.671284475511923,127.22910766997022,26.846556534036253,0.2786987940467188,0.5068468510385677,True
0.01,10.0,2,50-140,50|140,4.671284475511923,4.671284475511923,127.22910766997022,26.846556534036253,0.2786987940467188,0.5068468510385677,True
0.01,20.0,2,50-140,50|140,4.671284475511923,4.671284475511923,127.22910766997022,26.846556534036253,0.2786987940467188,0.5068468510385677,True
0.05,1.0,None,None,None,None,None,None,None,None,None,False
0.05,5.0,None,None,None,None,None,None,None,None,None,False
0.05,10.0,None,None,None,None,None,None,None,None,None,False
0.05,20.0,3,50-130-140,50|130|140,19.4482607557547,3.88965215115094,118.03243755476947,29.758003778995995,0.3719096912825311,0.561813225076218,True
0.1,1.0,None,None,None,None,None,None,None,None,None,False
0.1,5.0,None,None,None,None,None,None,None,None,None,False
0.1,10.0,None,None,None,None,None,None,None,None,None,False
0.1,20.0,None,None,None,None,None,None,None,None,None,False
0.25,1.0,None,None,None,None,None,None,None,None,None,False
0.25,5.0,None,None,None,None,None,None,None,None,None,False
0.25,10.0,None,None,None,None,None,None,None,None,None,False
0.25,20.0,None,None,None,None,None,None,None,None,None,False
0.5,1.0,None,None,None,None,None,None,None,None,None,False
0.5,5.0,None,None,None,None,None,None,None,None,None,False
0.5,10.0,None,None,None,None,None,None,None,None,None,False
0.5,20.0,None,None,None,None,None,None,None,None,None,False
1.0,1.0,None,None,None,None,None,None,None,None,None,False
1.0,5.0,None,None,None,None,None,None,None,None,None,False
1.0,10.0,None,None,None,None,None,None,None,None,None,False
1.0,20.0,None,None,None,None,None,None,None,None,None,False
