state,k,subset_id,sizes_mm,rho1_hat,rho2_hat,bounds_hit_rho1_lower,bounds_hit_rho1_upper,bounds_hit_rho2_lower,bounds_hit_rho2_upper,fit_resid_rmse_ohm,fit_resid_norm_ohm,all_size_rmse_ohm,heldout_rmse_ohm,heldout_count,nfev,success,start_used,independent_tissue_truth,status
inhale,2,50-140,50|140,5.059413945280995,24.07407380658436,False,False,False,True,2.559713182634395,3.619981098666761,12.783604157351034,14.430525948794795,7,8,True,center,False,conditional_real_inverse_no_tissue_truth
inhale,3,50-130-140,50|130|140,5.316888250621192,24.07407380658436,False,False,False,True,7.007439975709602,12.137242068918251,10.236409427887315,11.516249800018405,6,8,True,center,False,conditional_real_inverse_no_tissue_truth
inhale,4,50-120-130-140,50|120|130|140,5.464651584632403,24.07407380658436,False,False,False,True,7.123490915851729,14.246981831703458,8.987767260487283,10.237608623553603,5,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
inhale,5,50-60-120-130-140,50|60|120|130|140,5.611761650579565,24.07407380658436,False,False,False,True,6.878542992900977,15.380889718281438,7.989929823344721,9.192103115063293,4,8,True,center,False,conditional_real_inverse_no_tissue_truth
inhale,6,50-60-110-120-130-140,50|60|110|120|130|140,5.646640066619201,24.07407380658436,False,False,False,True,6.388168493081506,15.64775319897382,7.79988417180367,10.044759125467461,3,9,True,center,False,conditional_real_inverse_no_tissue_truth
inhale,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,5.808017175590742,24.07407380658436,False,False,False,True,7.646730384826577,20.231346941012358,7.2119625832778445,5.422372159663458,2,9,True,center,False,conditional_real_inverse_no_tissue_truth
inhale,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,5.852201372808188,24.07407380658436,False,False,False,True,7.289790716922894,20.61864179746769,7.144565997033131,5.854487168093925,1,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
inhale,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,5.898838188372726,24.07407380658436,False,False,False,True,7.120281631588608,21.360844894765826,7.120281631588608,None,0,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,2,50-140,50|140,4.863251545363707,24.07407380658436,False,False,False,True,1.3301775941798886,1.8811551940540134,11.387206100438323,12.8922868419212,7,9,True,center,False,conditional_real_inverse_no_tissue_truth
exhale,3,50-130-140,50|130|140,5.053238912386755,24.07407380658436,False,False,False,True,5.051758991656541,8.74990324114205,9.496401389463175,11.068528563897091,6,8,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,4,50-120-130-140,50|120|130|140,5.155251840892644,24.07407380658436,False,False,False,True,5.07722641975315,10.1544528395063,8.590472993684676,10.592951655013573,5,7,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,5,50-60-120-130-140,50|60|120|130|140,5.335610038827305,24.07407380658436,False,False,False,True,5.548337659562959,12.406460168904863,7.282238316673777,8.99108864633286,4,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,6,50-60-110-120-130-140,50|60|110|120|130|140,5.357890498104152,24.07407380658436,False,False,False,True,5.120250726361357,12.542001634700263,7.154796644531357,10.056809139691548,3,6,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,5.527397429988171,24.07407380658436,False,False,False,True,6.961718486740442,18.418975813556123,6.51162911431732,4.601801466896376,2,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,5.565985858279438,24.07407380658436,False,False,False,True,6.627112801490455,18.744305606488314,6.456369294250202,4.879892161124289,1,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
exhale,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,5.6048384699704075,24.07407380658436,False,False,False,True,6.437679871547754,19.31303961464326,6.437679871547754,None,0,5,True,best_grid,False,conditional_real_inverse_no_tissue_truth
