state,L_mm,rho2,rho1,residual_ohm
inhale,50,9.7412714895272,4.9944222571425,-1.2505552149378e-12
inhale,60,9.7412714895272,5.9478569639518,-1.4210854715202e-14
inhale,70,9.7412714895272,6.839294679541,4.8316906031687e-13
inhale,80,9.7412714895272,6.2629683355564,0
inhale,90,9.7412714895272,6.5695277030423,8.9528384705773e-13
inhale,110,9.7412714895272,6.1551663807967,0
inhale,120,9.7412714895272,6.5224103196948,2.1316282072803e-13
inhale,130,9.7412714895272,6.9365298903443,1.4210854715202e-14
inhale,140,9.7412714895272,5.8295125778409,-7.4606987254811e-13
inhale,50,9.7651594933889,4.9943158607785,-1.2363443602226e-12
inhale,60,9.7651594933889,5.9476486646095,1.4210854715202e-14
inhale,70,9.7651594933889,6.8388942051082,4.8316906031687e-13
inhale,80,9.7651594933889,6.262520237626,2.8421709430404e-14
inhale,90,9.7651594933889,6.5688494438521,8.8107299234252e-13
inhale,110,9.7651594933889,6.1542777337508,1.4210854715202e-14
inhale,120,9.7651594933889,6.521144324372,2.1316282072803e-13
inhale,130,9.7651594933889,6.934945537532,7.105427357601e-15
inhale,140,9.7651594933889,5.8280492546326,-7.176481631177e-13
inhale,50,9.7890474972507,4.9942098253585,-1.2505552149378e-12
inhale,60,9.7890474972507,5.9474410511987,2.8421709430404e-14
inhale,70,9.7890474972507,6.8384950304784,4.8316906031687e-13
inhale,80,9.7890474972507,6.2620736436444,1.4210854715202e-14
inhale,90,9.7890474972507,6.5681734951409,8.9528384705773e-13
inhale,110,9.7890474972507,6.1533922804183,1.4210854715202e-14
inhale,120,9.7890474972507,6.5198830080553,2.2026824808563e-13
inhale,130,9.7890474972507,6.933367140551,2.1316282072803e-14
inhale,140,9.7890474972507,5.8265917890646,-7.034373084025e-13
inhale,50,9.8129355011125,4.9941041489272,-1.2363443602226e-12
inhale,60,9.8129355011125,5.9472341201059,2.8421709430404e-14
inhale,70,9.8129355011125,6.8380971489201,4.5474735088646e-13
inhale,80,9.8129355011125,6.2616285455904,2.8421709430404e-14
inhale,90,9.8129355011125,6.567499844472,9.2370555648813e-13
inhale,110,9.8129355011125,6.1525100028011,0
inhale,120,9.8129355011125,6.5186263438258,2.2026824808563e-13
inhale,130,9.8129355011125,6.9317946647145,2.1316282072803e-14
inhale,140,9.8129355011125,5.8251401448917,-7.105427357601e-13
inhale,50,9.8368235049742,4.9939988295443,-1.2789769243682e-12
inhale,60,9.8368235049742,5.9470278677447,2.8421709430404e-14
inhale,70,9.8368235049742,6.8377005537515,4.6895820560167e-13
inhale,80,9.8368235049742,6.2611849355036,2.8421709430404e-14
inhale,90,9.8368235049742,6.5668284795029,9.2370555648813e-13
inhale,110,9.8368235049742,6.1516308830425,0
inhale,120,9.8368235049742,6.5173743049785,2.0605739337043e-13
inhale,130,9.8368235049742,6.930228075614,4.9737991503207e-14
inhale,140,9.8368235049742,5.8236942861763,-6.892264536873e-13
inhale,50,9.860711508836,4.9938938652845,-1.2363443602226e-12
inhale,60,9.860711508836,5.9468222905555,-2.8421709430404e-14
inhale,70,9.860711508836,6.8373052383396,4.9737991503207e-13
inhale,80,9.860711508836,6.2607428054836,-1.4210854715202e-14
inhale,90,9.860711508836,6.5661593879844,9.5212726591853e-13
inhale,110,9.860711508836,6.1507549034259,1.4210854715202e-14
inhale,120,9.860711508836,6.516126865021,2.3447910280083e-13
inhale,130,9.860711508836,6.9286673391161,2.1316282072803e-14
inhale,140,9.860711508836,5.8222541772848,-6.6080474425689e-13
inhale,50,9.8845995126977,4.9937892542372,-1.2505552149378e-12
inhale,60,9.8845995126977,5.9466173850054,-4.2632564145606e-14
inhale,70,9.8845995126977,6.8369111961005,5.1159076974727e-13
inhale,80,9.8845995126977,6.2603021476894,0
inhale,90,9.8845995126977,6.5654925577599,9.3791641120333e-13
inhale,110,9.8845995126977,6.1498820463736,-1.4210854715202e-14
inhale,120,9.8845995126977,6.5148839976706,2.4158453015843e-13
inhale,130,9.8845995126977,6.9271124213602,0
inhale,140,9.8845995126977,5.8208197828843,-6.3238303482649e-13
inhale,50,9.9084875165595,4.9936849945064,-1.2505552149378e-12
inhale,60,9.9084875165595,5.9464131475879,1.4210854715202e-14
inhale,70,9.9084875165595,6.8365184204983,4.9737991503207e-13
inhale,80,9.9084875165595,6.2598629543387,-1.4210854715202e-14
inhale,90,9.9084875165595,6.5648279767643,9.3791641120333e-13
inhale,110,9.9084875165595,6.1490122944447,0
inhale,120,9.9084875165595,6.5136456768526,2.3447910280083e-13
inhale,130,9.9084875165595,6.925563288755,1.4210854715202e-14
inhale,140,9.9084875165595,5.8193910679395,-6.3948846218409e-13
inhale,50,9.9323755204213,4.9935810842105,-1.2789769243682e-12
inhale,60,9.9323755204213,5.9462095748227,0
inhale,70,9.9323755204213,6.8361269050451,4.9737991503207e-13
inhale,80,9.9323755204213,6.2594252177077,-4.2632564145606e-14
inhale,90,9.9323755204213,6.564165633023,9.0949470177293e-13
inhale,110,9.9323755204213,6.1481456303345,-4.2632564145606e-14
inhale,120,9.9323755204213,6.512411876698,2.0605739337043e-13
inhale,130,9.9323755204213,6.9240199079766,1.4210854715202e-14
inhale,140,9.9323755204213,5.8179679977095,-6.1817218011129e-13
inhale,50,9.956263524283,4.9934775214824,-1.264766069653e-12
inhale,60,9.956263524283,5.9460066632552,-1.4210854715202e-14
inhale,70,9.956263524283,6.8357366433001,4.5474735088646e-13
inhale,80,9.956263524283,6.2589889301303,-1.4210854715202e-14
inhale,90,9.956263524283,6.5635055146516,9.0949470177293e-13
inhale,110,9.956263524283,6.1472820368727,2.8421709430404e-14
inhale,120,9.956263524283,6.5111825715413,2.4868995751604e-13
inhale,130,9.956263524283,6.9224822459652,3.5527136788005e-14
inhale,140,9.956263524283,5.8165505377447,-5.8264504332328e-13
inhale,50,9.9801515281448,4.9933743044692,-1.264766069653e-12
inhale,60,9.9801515281448,5.9458044094565,-1.4210854715202e-14
inhale,70,9.9801515281448,6.8353476288695,5.1159076974727e-13
inhale,80,9.9801515281448,6.2585540839974,1.4210854715202e-14
inhale,90,9.9801515281448,6.5628476098542,9.5212726591853e-13
inhale,110,9.9801515281448,6.1464214970222,0
inhale,120,9.9801515281448,6.5099577359191,2.4158453015843e-13
inhale,130,9.9801515281448,6.9209502699227,2.1316282072803e-14
inhale,140,9.9801515281448,5.8151386538836,-5.8264504332328e-13
inhale,50,10.004039532007,4.9932714313319,-1.2789769243682e-12
inhale,60,10.004039532007,5.9456028100231,1.4210854715202e-14
inhale,70,10.004039532007,6.834959855406,5.1159076974727e-13
inhale,80,10.004039532007,6.2581206717567,0
inhale,90,10.004039532007,6.5621919069232,9.2370555648813e-13
inhale,110,10.004039532007,6.1455639938777,-1.4210854715202e-14
inhale,120,10.004039532007,6.508737344567,2.4158453015843e-13
inhale,130,10.004039532007,6.91942394731,1.4210854715202e-14
inhale,140,10.004039532007,5.8137323122499,-5.6132876125048e-13
inhale,50,10.027927535868,4.9931689002454,-1.264766069653e-12
inhale,60,10.027927535868,5.9454018615765,2.8421709430404e-14
inhale,70,10.027927535868,6.8345733166082,4.6895820560167e-13
inhale,80,10.027927535868,6.2576886859116,4.2632564145606e-14
inhale,90,10.027927535868,6.561538394238,9.3791641120333e-13
inhale,110,10.027927535868,6.1447095106646,-2.8421709430404e-14
inhale,120,10.027927535868,6.5075213724189,2.4158453015843e-13
inhale,130,10.027927535868,6.9179032458443,7.105427357601e-15
inhale,140,10.027927535868,5.8123314792492,-5.4001247917768e-13
inhale,50,10.05181553973,4.9930667093985,-1.2363443602226e-12
inhale,60,10.05181553973,5.9452015607633,-1.4210854715202e-14
inhale,70,10.05181553973,6.8341880062203,4.9737991503207e-13
inhale,80,10.05181553973,6.2572581190215,2.8421709430404e-14
inhale,90,10.05181553973,6.5608870602647,9.5212726591853e-13
inhale,110,10.05181553973,6.1438580307372,0
inhale,120,10.05181553973,6.5063097946037,2.3447910280083e-13
inhale,130,10.05181553973,6.9163881334968,2.8421709430404e-14
inhale,140,10.05181553973,5.8109361215666,-5.4001247917768e-13
inhale,50,10.075703543592,4.9929648569936,-1.3073986337986e-12
inhale,60,10.075703543592,5.9450019042544,0
inhale,70,10.075703543592,6.8338039180315,4.9737991503207e-13
inhale,80,10.075703543592,6.2568289637005,4.2632564145606e-14
inhale,90,10.075703543592,6.5602378935546,9.5212726591853e-13
inhale,110,10.075703543592,6.1430095375782,-1.4210854715202e-14
inhale,120,10.075703543592,6.5051025864445,2.4158453015843e-13
inhale,130,10.075703543592,6.9148785784899,-7.105427357601e-15
inhale,140,10.075703543592,5.8095462061629,-5.3290705182008e-13
inhale,50,10.099591547454,4.9928633412466,-1.264766069653e-12
inhale,60,10.099591547454,5.9448028887455,1.4210854715202e-14
inhale,70,10.099591547454,6.8334210458759,4.8316906031687e-13
inhale,80,10.099591547454,6.2564012126171,0
inhale,90,10.099591547454,6.5595908827438,9.5212726591853e-13
inhale,110,10.099591547454,6.1421640147966,1.4210854715202e-14
inhale,120,10.099591547454,6.5038997234558,2.6290081223124e-13
inhale,130,10.099591547454,6.9133745492947,1.4210854715202e-14
inhale,140,10.099591547454,5.8081617002725,-5.0448534238967e-13
inhale,50,10.123479551315,4.9927621603867,-1.2505552149378e-12
inhale,60,10.123479551315,5.9446045109562,1.4210854715202e-14
inhale,70,10.123479551315,6.8330393836318,4.8316906031687e-13
inhale,80,10.123479551315,6.2559748584938,-4.2632564145606e-14
inhale,90,10.123479551315,6.5589460165526,9.8054897534894e-13
inhale,110,10.123479551315,6.1413214461272,1.4210854715202e-14
inhale,120,10.123479551315,6.5027011813423,2.5579538487364e-13
inhale,130,10.123479551315,6.911876014629,2.1316282072803e-14
inhale,140,10.123479551315,5.8067825714001,-4.8316906031687e-13
inhale,50,10.147367555177,4.9926613126565,-1.264766069653e-12
inhale,60,10.147367555177,5.9444067676302,1.4210854715202e-14
inhale,70,10.147367555177,6.8326589252214,5.1159076974727e-13
inhale,80,10.147367555177,6.2555498941067,-2.8421709430404e-14
inhale,90,10.147367555177,6.5583032837839,9.5212726591853e-13
inhale,110,10.147367555177,6.1404818154287,-1.4210854715202e-14
inhale,120,10.147367555177,6.5015069359964,2.4868995751604e-13
inhale,130,10.147367555177,6.9103829434539,0
inhale,140,10.147367555177,5.805408787318,-4.6185277824407e-13
inhale,50,10.171255559039,4.9925607963115,-1.264766069653e-12
inhale,60,10.171255559039,5.9442096555347,-1.4210854715202e-14
inhale,70,10.171255559039,6.8322796646104,4.5474735088646e-13
inhale,80,10.171255559039,6.2551263122845,0
inhale,90,10.171255559039,6.5576626733232,9.8054897534894e-13
inhale,110,10.171255559039,6.139645106683,-1.4210854715202e-14
inhale,120,10.171255559039,6.5003169634969,2.4868995751604e-13
inhale,130,10.171255559039,6.9088953049725,2.8421709430404e-14
inhale,140,10.171255559039,5.8040403160633,-4.2632564145606e-13
inhale,50,10.195143562901,4.9924606096203,-1.264766069653e-12
inhale,60,10.195143562901,5.9440131714606,1.4210854715202e-14
inhale,70,10.195143562901,6.8319015958074,5.2580162446247e-13
inhale,80,10.195143562901,6.2547041059085,0
inhale,90,10.195143562901,6.5570241741377,9.9475983006414e-13
inhale,110,10.195143562901,6.1388113039937,-1.4210854715202e-14
inhale,120,10.195143562901,6.4991312401065,2.4158453015843e-13
inhale,130,10.195143562901,6.9074130686266,0
inhale,140,10.195143562901,5.8026771259351,-4.1922021409846e-13
inhale,50,10.219031566762,4.9923607508645,-1.2931877790834e-12
inhale,60,10.219031566762,5.943817312222,-2.8421709430404e-14
inhale,70,10.219031566762,6.8315247128638,5.2580162446247e-13
inhale,80,10.219031566762,6.2542832679118,-2.8421709430404e-14
inhale,90,10.219031566762,6.556387775275,9.6633812063374e-13
inhale,110,10.219031566762,6.1379803915851,1.4210854715202e-14
inhale,120,10.219031566762,6.4979497422709,2.4868995751604e-13
inhale,130,10.219031566762,6.9059362040949,2.1316282072803e-14
inhale,140,10.219031566762,5.8013191854918,-4.1211478674086e-13
inhale,50,10.242919570624,4.9922612183381,-1.2931877790834e-12
inhale,60,10.242919570624,5.943622074656,1.4210854715202e-14
inhale,70,10.242919570624,6.8311490098732,4.5474735088646e-13
inhale,80,10.242919570624,6.2538637912791,-2.8421709430404e-14
inhale,90,10.242919570624,6.5557534658629,9.8054897534894e-13
inhale,110,10.242919570624,6.1371523538009,2.8421709430404e-14
inhale,120,10.242919570624,6.4967724466161,2.4868995751604e-13
inhale,130,10.242919570624,6.9044646812902,1.4210854715202e-14
inhale,140,10.242919570624,5.7999664635484,-3.9079850466806e-13
inhale,50,10.266807574486,4.9921620103481,-1.2505552149378e-12
inhale,60,10.266807574486,5.9434274556227,-1.4210854715202e-14
inhale,70,10.266807574486,6.8307744809712,5.1159076974727e-13
inhale,80,10.266807574486,6.2534456690458,-2.8421709430404e-14
inhale,90,10.266807574486,6.5551212351083,9.6633812063374e-13
inhale,110,10.266807574486,6.1363271751029,1.4210854715202e-14
inhale,120,10.266807574486,6.4955993299471,2.3447910280083e-13
inhale,130,10.266807574486,6.9029984703579,1.4210854715202e-14
inhale,140,10.266807574486,5.798618929174,-3.6237679523765e-13
inhale,50,10.290695578348,4.9920631252136,-1.2363443602226e-12
inhale,60,10.290695578348,5.9432334520045,-1.4210854715202e-14
inhale,70,10.290695578348,6.8304011203347,5.2580162446247e-13
inhale,80,10.290695578348,6.2530288942978,0
inhale,90,10.290695578348,6.5544910722969,9.5212726591853e-13
inhale,110,10.290695578348,6.1355048400703,0
inhale,120,10.290695578348,6.4944303692463,2.4868995751604e-13
inhale,130,10.290695578348,6.9015375416725,3.5527136788005e-14
inhale,140,10.290695578348,5.7972765516887,-3.4106051316485e-13
inhale,50,10.314583582209,4.9919645612664,-1.2789769243682e-12
inhale,60,10.314583582209,5.9430400607064,2.8421709430404e-14
inhale,70,10.314583582209,6.8300289221818,4.9737991503207e-13
inhale,80,10.314583582209,6.2526134601712,2.8421709430404e-14
inhale,90,10.314583582209,6.5538629667917,9.8054897534894e-13
inhale,110,10.314583582209,6.1346853333982,-1.4210854715202e-14
inhale,120,10.314583582209,6.4932655416712,2.9132252166164e-13
inhale,130,10.314583582209,6.9000818658367,2.1316282072803e-14
inhale,140,10.314583582209,5.7959393006619,-3.2684965844965e-13
inhale,50,10.338471586071,4.9918663168503,-1.264766069653e-12
inhale,60,10.338471586071,5.9428472786557,0
inhale,70,10.338471586071,6.8296578807713,5.4001247917768e-13
inhale,80,10.338471586071,6.2521993598512,2.8421709430404e-14
inhale,90,10.338471586071,6.5532369080331,9.9475983006414e-13
inhale,110,10.338471586071,6.1338686398964,1.4210854715202e-14
inhale,120,10.338471586071,6.4921048245534,2.6290081223124e-13
inhale,130,10.338471586071,6.8986314136782,2.8421709430404e-14
inhale,140,10.338471586071,5.7946071459086,-3.1974423109205e-13
inhale,50,10.362359589933,4.9917683903215,-1.2505552149378e-12
inhale,60,10.362359589933,5.9426551028014,0
inhale,70,10.362359589933,6.8292879904025,5.2580162446247e-13
inhale,80,10.362359589933,6.2517865865725,0
inhale,90,10.362359589933,6.5526128855376,1.0089706847793e-12
inhale,110,10.362359589933,6.1330547444886,-1.4210854715202e-14
inhale,120,10.362359589933,6.4909481953963,2.6290081223124e-13
inhale,130,10.362359589933,6.8971861562477,0
inhale,140,10.362359589933,5.7932800574878,-3.0553337637684e-13
inhale,50,10.386247593795,4.991670780048,-1.2505552149378e-12
inhale,60,10.386247593795,5.9424635301146,-4.2632564145606e-14
inhale,70,10.386247593795,6.8289192454143,5.1159076974727e-13
inhale,80,10.386247593795,6.251375133618,0
inhale,90,10.386247593795,6.5519908888974,9.8054897534894e-13
inhale,110,10.386247593795,6.1322436322112,-2.8421709430404e-14
inhale,120,10.386247593795,6.4897956318737,2.7000623958884e-13
inhale,130,10.386247593795,6.8957460648171,7.105427357601e-15
inhale,140,10.386247593795,5.7919580056997,-2.9132252166164e-13
inhale,50,10.410135597657,4.9915734844097,-1.2505552149378e-12
inhale,60,10.410135597657,5.9422725575876,0
inhale,70,10.410135597657,6.8285516401857,5.1159076974727e-13
inhale,80,10.410135597657,6.2509649943189,0
inhale,90,10.410135597657,6.5513709077794,1.0089706847793e-12
inhale,110,10.410135597657,6.1314352882122,1.4210854715202e-14
inhale,120,10.410135597657,6.4886471118283,2.5579538487364e-13
inhale,130,10.410135597657,6.8943111108771,2.1316282072803e-14
inhale,140,10.410135597657,5.790640961083,-2.7000623958884e-13
inhale,50,10.434023601518,4.9914765017984,-1.2221335055074e-12
inhale,60,10.434023601518,5.9420821822344,-1.4210854715202e-14
inhale,70,10.434023601518,6.8281851691346,5.2580162446247e-13
inhale,80,10.434023601518,6.2505561620541,0
inhale,90,10.434023601518,6.550752931925,1.0089706847793e-12
inhale,110,10.434023601518,6.1306296977499,-1.4210854715202e-14
inhale,120,10.434023601518,6.4875026132698,2.6290081223124e-13
inhale,130,10.434023601518,6.8928812661349,1.4210854715202e-14
inhale,140,10.434023601518,5.7893288944128,-2.8421709430404e-13
inhale,50,10.45791160538,4.9913798306176,-1.3216094885138e-12
inhale,60,10.45791160538,5.9418924010901,-1.4210854715202e-14
inhale,70,10.45791160538,6.827819826718,4.8316906031687e-13
inhale,80,10.45791160538,6.2501486302498,1.4210854715202e-14
inhale,90,10.45791160538,6.5501369511488,9.8054897534894e-13
inhale,110,10.45791160538,6.1298268461923,-1.4210854715202e-14
inhale,120,10.45791160538,6.4863621143734,2.7000623958884e-13
inhale,130,10.45791160538,6.8914565025126,1.4210854715202e-14
inhale,140,10.45791160538,5.7880217766981,-2.3447910280083e-13
inhale,50,10.481799609242,4.9912834692823,-1.264766069653e-12
inhale,60,10.481799609242,5.9417032112106,-1.4210854715202e-14
inhale,70,10.481799609242,6.8274556074312,5.4001247917768e-13
inhale,80,10.481799609242,6.2497423923788,0
inhale,90,10.481799609242,6.5495229553383,1.0231815394945e-12
inhale,110,10.481799609242,6.1290267190157,0
inhale,120,10.481799609242,6.4852255934782,2.5579538487364e-13
inhale,130,10.481799609242,6.8900367921445,3.5527136788005e-14
inhale,140,10.481799609242,5.7867195791794,-2.0605739337043e-13
inhale,50,10.505687613104,4.991187416219,-1.2789769243682e-12
inhale,60,10.505687613104,5.9415146096729,0
inhale,70,10.505687613104,6.8270925058081,5.2580162446247e-13
inhale,80,10.505687613104,6.2493374419604,-2.8421709430404e-14
inhale,90,10.505687613104,6.5489109344534,1.0089706847793e-12
inhale,110,10.505687613104,6.1282293018038,1.4210854715202e-14
inhale,120,10.505687613104,6.4840930290857,2.8421709430404e-13
inhale,130,10.505687613104,6.8886221073755,2.1316282072803e-14
inhale,140,10.505687613104,5.7854222733262,-1.8474111129763e-13
inhale,50,10.529575616965,4.9910916698655,-1.2789769243682e-12
inhale,60,10.529575616965,5.9413265935742,-2.8421709430404e-14
inhale,70,10.529575616965,6.82673051642,5.5422333389288e-13
inhale,80,10.529575616965,6.2489337725599,0
inhale,90,10.529575616965,6.548300878525,1.0089706847793e-12
inhale,110,10.529575616965,6.1274345802467,0
inhale,120,10.529575616965,6.4829643998581,2.7711166694644e-13
inhale,130,10.529575616965,6.8872124207591,0
inhale,140,10.529575616965,5.784129830835,-1.5631940186722e-13
inhale,50,10.553463620827,4.9909962286708,-1.2931877790834e-12
inhale,60,10.553463620827,5.9411391600326,0
inhale,70,10.553463620827,6.826369633876,5.6843418860808e-13
inhale,80,10.553463620827,6.2485313777879,-1.4210854715202e-14
inhale,90,10.553463620827,6.5476927776552,1.0089706847793e-12
inhale,110,10.553463620827,6.1266425401399,1.4210854715202e-14
inhale,120,10.553463620827,6.481839684617,2.7000623958884e-13
inhale,130,10.553463620827,6.8858077050552,0
inhale,140,10.553463620827,5.7828422236268,-1.5631940186722e-13
inhale,50,10.577351624689,4.9909010910952,-1.2931877790834e-12
inhale,60,10.577351624689,5.9409523061859,0
inhale,70,10.577351624689,6.8260098528222,5.2580162446247e-13
inhale,80,10.577351624689,6.2481302513004,-1.4210854715202e-14
inhale,90,10.577351624689,6.5470866220161,1.0089706847793e-12
inhale,110,10.577351624689,6.1258531673831,-1.4210854715202e-14
inhale,120,10.577351624689,6.4807188623416,2.9842794901924e-13
inhale,130,10.577351624689,6.884407933228,1.4210854715202e-14
inhale,140,10.577351624689,5.7815594238449,-1.5631940186722e-13
inhale,50,10.601239628551,4.9908062556099,-1.2931877790834e-12
inhale,60,10.601239628551,5.9407660291922,4.2632564145606e-14
inhale,70,10.601239628551,6.8256511679418,5.4001247917768e-13
inhale,80,10.601239628551,6.2477303867979,-1.4210854715202e-14
inhale,90,10.601239628551,6.5464824018495,1.0516032489249e-12
inhale,110,10.601239628551,6.1250664479795,1.4210854715202e-14
inhale,120,10.601239628551,6.4796019121673,2.9842794901924e-13
inhale,130,10.601239628551,6.8830130784445,2.8421709430404e-14
inhale,140,10.601239628551,5.7802814038526,-1.2789769243682e-13
inhale,50,10.625127632412,4.9907117206972,-1.2931877790834e-12
inhale,60,10.625127632412,5.9405803262296,2.8421709430404e-14
inhale,70,10.625127632412,6.8252935739543,5.5422333389288e-13
inhale,80,10.625127632412,6.2473317780252,-1.4210854715202e-14
inhale,90,10.625127632412,6.5458801074659,1.0516032489249e-12
inhale,110,10.625127632412,6.1242823680347,0
inhale,120,10.625127632412,6.4784888133845,2.9842794901924e-13
inhale,130,10.625127632412,6.8816231140721,1.4210854715202e-14
inhale,140,10.625127632412,5.7790081362312,-9.2370555648813e-14
inhale,50,10.649015636274,4.9906174848499,-1.2789769243682e-12
inhale,60,10.649015636274,5.9403951944956,-2.8421709430404e-14
inhale,70,10.649015636274,6.8249370656153,5.6843418860808e-13
inhale,80,10.649015636274,6.2469344187711,1.4210854715202e-14
inhale,90,10.649015636274,6.5452797292441,1.0658141036402e-12
inhale,110,10.649015636274,6.1235009137557,0
inhale,120,10.649015636274,6.4773795454365,2.9132252166164e-13
inhale,130,10.649015636274,6.8802380136769,7.105427357601e-15
inhale,140,10.649015636274,5.7777395937776,-7.105427357601e-14
inhale,50,10.672903640136,4.990523546572,-1.2931877790834e-12
inhale,60,10.672903640136,5.9402106312073,-5.6843418860808e-14
inhale,70,10.672903640136,6.8245816377165,5.1159076974727e-13
inhale,80,10.672903640136,6.2465383028676,-1.4210854715202e-14
inhale,90,10.672903640136,6.5446812576306,1.0800249583554e-12
inhale,110,10.672903640136,6.12272207145,0
inhale,120,10.672903640136,6.4762740879188,2.8421709430404e-13
inhale,130,10.672903640136,6.8788577510221,7.105427357601e-15
inhale,140,10.672903640136,5.776475749502,-3.5527136788005e-14
inhale,50,10.696791643998,4.9904299043777,-1.2931877790834e-12
inhale,60,10.696791643998,5.9400266336011,-2.8421709430404e-14
inhale,70,10.696791643998,6.8242272850849,5.4001247917768e-13
inhale,80,10.696791643998,6.24614342419,2.8421709430404e-14
inhale,90,10.696791643998,6.5440846831389,1.0516032489249e-12
inhale,110,10.696791643998,6.1219458275246,1.4210854715202e-14
inhale,120,10.696791643998,6.4751724205771,2.8421709430404e-13
inhale,130,10.696791643998,6.8774823000655,2.1316282072803e-14
inhale,140,10.696791643998,5.7752165766264,-2.1316282072803e-14
inhale,50,10.720679647859,4.990336556792,-1.3216094885138e-12
inhale,60,10.720679647859,5.9398431989325,-2.8421709430404e-14
inhale,70,10.720679647859,6.823874002583,5.4001247917768e-13
inhale,80,10.720679647859,6.2457497766563,0
inhale,90,10.720679647859,6.5434899963489,1.0516032489249e-12
inhale,110,10.720679647859,6.1211721684853,0
inhale,120,10.720679647859,6.4740745233061,2.9132252166164e-13
inhale,130,10.720679647859,6.8761116349582,2.1316282072803e-14
inhale,140,10.720679647859,5.7739620485819,-1.4210854715202e-14
inhale,50,10.744567651721,4.9902435023501,-1.3073986337986e-12
inhale,60,10.744567651721,5.9396603244761,1.4210854715202e-14
inhale,70,10.744567651721,6.8235217851079,5.5422333389288e-13
inhale,80,10.744567651721,6.2453573542267,0
inhale,90,10.744567651721,6.5428971879064,1.0658141036402e-12
inhale,110,10.744567651721,6.1204010809353,1.4210854715202e-14
inhale,120,10.744567651721,6.4729803761482,3.0553337637684e-13
inhale,130,10.744567651721,6.8747457300424,1.4210854715202e-14
inhale,140,10.744567651721,5.7727121390067,-7.105427357601e-15
inhale,50,10.768455655583,4.9901507395979,-1.2789769243682e-12
inhale,60,10.768455655583,5.9394780075252,2.8421709430404e-14
inhale,70,10.768455655583,6.8231706275915,5.6843418860808e-13
inhale,80,10.768455655583,6.2449661509035,1.4210854715202e-14
inhale,90,10.768455655583,6.5423062485223,1.0800249583554e-12
inhale,110,10.768455655583,6.1196325515749,1.4210854715202e-14
inhale,120,10.768455655583,6.4718899592919,2.9132252166164e-13
