k,subset_id,sizes_mm,sizes_mm_json,subset_indices_json,worst_sigma_logrho1_unit_ohm_error,worst_sigma_logrho2_unit_ohm_error,worst_max_unit_logrho_error,worst_kappa,g1,g2,g1_max,g2_max,rank2_min,g1_relative_full9,g2_relative_full9,attenuation_relative_full9,uncertainty_inflation_relative_full9,global_rank,rank_within_count
9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,"[50, 60, 70, 80, 90, 110, 120, 130, 140]","[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.03149046207906509,3.118400369838873,3.118400369838873,168.17645095393598,52.96778796006252,0.5439904938415705,371.21155504428657,17.901583194593307,2,1.0,1.0,1.0,1.0,1,1
8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,"[50, 60, 70, 80, 110, 120, 130, 140]","[0, 1, 2, 3, 5, 6, 7, 8]",0.031762327921261706,3.126247459528939,3.126247459528939,160.5902097504574,50.467100580901125,0.5213058008660322,354.07290558405396,17.187020396181232,2,0.9527885253383263,0.9582994680378645,0.9527885253383263,1.0025163830039154,2,1
8,50-60-70-90-110-120-130-140,50|60|70|90|110|120|130|140,"[50, 60, 70, 90, 110, 120, 130, 140]","[0, 1, 2, 4, 5, 6, 7, 8]",0.03279734587024014,3.1291601143441716,3.1291601143441716,157.8074724051494,49.51080054773254,0.5280163550223306,346.92719408533554,17.402943605140585,2,0.9347341555034064,0.9706352610935658,0.9347341555034064,1.0034504050888933,3,2
7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,"[50, 60, 70, 110, 120, 130, 140]","[0, 1, 2, 5, 6, 7, 8]",0.03321419770354543,3.1350814013893276,3.1350814013893276,149.48573772034123,46.825858780571224,0.5046140622274088,328.524096325157,16.66701639014937,2,0.8840440687437753,0.927615588764995,0.8840440687437753,1.0053492270305613,4,1
8,50-60-80-90-110-120-130-140,50|60|80|90|110|120|130|140,"[50, 60, 80, 90, 110, 120, 130, 140]","[0, 1, 3, 4, 5, 6, 7, 8]",0.03335742186082652,3.160488642391445,3.160488642391445,160.22313744544869,49.75234182165999,0.5345568390699332,348.2638895453201,17.600851528419746,2,0.9392943095749634,0.9826584198098419,0.9392943095749634,1.0134967507571027,5,3
7,50-60-80-110-120-130-140,50|60|80|110|120|130|140,"[50, 60, 80, 110, 120, 130, 140]","[0, 1, 3, 5, 6, 7, 8]",0.033782982271163504,3.1649359129285166,3.1649359129285166,151.79413389680192,47.08117666753821,0.5114539029306726,329.93535826214793,16.87355812362289,2,0.8888643169889822,0.9401890450674425,0.8888643169889822,1.0149228891645008,6,2
7,50-60-90-110-120-130-140,50|60|90|110|120|130|140,"[50, 60, 90, 110, 120, 130, 140]","[0, 1, 4, 5, 6, 7, 8]",0.03511947963680978,3.178968001753171,3.178968001753171,149.27214199075001,46.05462328837906,0.5182920296295425,322.25486211810926,17.093441425770113,2,0.8694836062080608,0.9527593505714599,0.8694836062080608,1.019422660573064,7,3
6,50-60-110-120-130-140,50|60|110|120|130|140,"[50, 60, 110, 120, 130, 140]","[0, 1, 5, 6, 7, 8]",0.03578869827052118,3.1813373210298246,3.1813373210298246,139.94650219731338,43.15518515653887,0.49442968014075567,302.35376635507384,16.343583725793987,2,0.8147439570079401,0.9088939710125731,0.8147439570079401,1.020182447321286,8,1
8,50-60-70-80-90-120-130-140,50|60|70|80|90|120|130|140,"[50, 60, 70, 80, 90, 120, 130, 140]","[0, 1, 2, 3, 4, 6, 7, 8]",0.03150341319120875,3.2253104603029414,3.2253104603029414,166.5315821464232,50.76316741605332,0.5037727522325963,355.96259638860903,16.600820498688712,2,0.9583780892328092,0.9260690360139142,0.9260690360139142,1.0342836319217061,9,4
7,50-60-70-90-120-130-140,50|60|70|90|120|130|140,"[50, 60, 70, 90, 120, 130, 140]","[0, 1, 2, 4, 6, 7, 8]",0.03279735004334939,3.2303582910067803,3.2303582910067803,154.94833136634844,47.14479796971737,0.48647980397245366,330.5598726785307,16.06184941034006,2,0.8900654489340641,0.8942799726830043,0.8900654489340641,1.0359023563012506,10,4
7,50-60-70-80-120-130-140,50|60|70|80|120|130|140,"[50, 60, 70, 80, 120, 130, 140]","[0, 1, 2, 3, 6, 7, 8]",0.0317650358250547,3.2412867935965437,3.2412867935965437,158.66304336597247,48.148113626298006,0.479187924011639,338.0517325766232,15.827641342142156,2,0.9090074454799107,0.8808755473421851,0.8808755473421851,1.039406878265609,11,5
6,50-60-70-120-130-140,50|60|70|120|130|140,"[50, 60, 70, 120, 130, 140]","[0, 1, 2, 6, 7, 8]",0.033221110035395046,3.2443190939150486,3.2443190939150486,146.21017791282875,44.316742381024724,0.46097362213000476,311.19034897564455,15.26138904904287,2,0.8366734592435567,0.8473927896693297,0.8366734592435567,1.0403792679394408,12,2
7,50-60-80-90-120-130-140,50|60|80|90|120|130|140,"[50, 60, 80, 90, 120, 130, 140]","[0, 1, 3, 4, 6, 7, 8]",0.033357652723789794,3.257469494863358,3.257469494863358,157.15411590739333,47.39839787869852,0.49357101079626586,331.9624800945994,16.276072464885793,2,0.8948532627875021,0.9073155071345996,0.8948532627875021,1.0445963021200098,13,6
6,50-60-90-120-130-140,50|60|90|120|130|140,"[50, 60, 90, 120, 130, 140]","[0, 1, 4, 6, 7, 8]",0.035136400577574785,3.2676464615601586,3.2676464615601586,144.7509713221842,43.50104517092228,0.47590750832437984,304.56452122347406,15.725975331691565,2,0.8212735861977449,0.8748452660700007,0.8212735861977449,1.0478598236341914,14,3
6,50-60-80-120-130-140,50|60|80|120|130|140,"[50, 60, 80, 120, 130, 140]","[0, 1, 3, 6, 7, 8]",0.03378774959153522,3.268671930352582,3.268671930352582,148.27422219421663,44.58643068387576,0.46845108957609116,312.67985554060607,15.486688610158655,2,0.8417650123032083,0.8611383744373314,0.8417650123032083,1.0481886681284205,15,4
5,50-60-120-130-140,50|60|120|130|140,"[50, 60, 120, 130, 140]","[0, 1, 6, 7, 8]",0.03585051642538905,3.2760311735358987,3.2760311735358987,134.77826860706142,40.41883979808509,0.44980221998796216,283.42397827004856,14.907491048421793,2,0.7630834013412211,0.8268567651091356,0.7630834013412211,1.0505486098647334,16,1
8,50-70-80-90-110-120-130-140,50|70|80|90|110|120|130|140,"[50, 70, 80, 90, 110, 120, 130, 140]","[0, 2, 3, 4, 5, 6, 7, 8]",0.037460649163234126,3.371941060606468,3.371941060606468,163.30740476751393,47.44890379091465,0.5375011269469385,329.6236549813871,17.695644318198934,2,0.8958067840531855,0.9880708082804809,0.8958067840531855,1.081304727006781,17,5
7,50-70-80-110-120-130-140,50|70|80|110|120|130|140,"[50, 70, 80, 110, 120, 130, 140]","[0, 2, 3, 5, 6, 7, 8]",0.038121880332415474,3.3721952316937345,3.3721952316937345,153.64086947279003,44.640118174352104,0.5145304093013437,310.1956766198161,16.972413413006723,2,0.8427785998541332,0.9458444864869153,0.8427785998541332,1.0813862338875924,18,7
8,50-60-70-80-90-110-130-140,50|60|70|80|90|110|130|140,"[50, 60, 70, 80, 90, 110, 130, 140]","[0, 1, 2, 3, 4, 5, 7, 8]",0.03191329323174286,3.3890917724769274,3.3890917724769274,176.0913242996927,51.10411754538265,0.4888134968211608,359.2685813905228,16.120118180389344,2,0.9648150227439162,0.8985699242081256,0.8985699242081256,1.086804569822457,19,6
7,50-60-70-90-110-130-140,50|60|70|90|110|130|140,"[50, 60, 70, 90, 110, 130, 140]","[0, 1, 2, 4, 5, 7, 8]",0.03309910692619186,3.3925982689184435,3.3925982689184435,163.91860944612372,47.51172107583028,0.47097160047671993,334.1173042089939,15.564510124012163,2,0.8969927366355926,0.8657717475002122,0.8657717475002122,1.0879290233966135,20,8
7,50-60-70-80-110-130-140,50|60|70|80|110|130|140,"[50, 60, 70, 80, 110, 130, 140]","[0, 1, 2, 3, 5, 7, 8]",0.03210629753681441,3.4118279704447563,3.4118279704447563,168.1822667239028,48.50744798227312,0.4634357725738384,341.53113685972426,15.322702091195382,2,0.9157914621401128,0.8519188806060414,0.8519188806060414,1.09409555086124,21,9
6,50-60-70-110-130-140,50|60|70|110|130|140,"[50, 60, 70, 110, 130, 140]","[0, 1, 2, 5, 7, 8]",0.033427362587426776,3.4134407979446033,3.4134407979446033,155.10376266813805,44.70688223582742,0.4445765727995376,314.96662814054184,14.737060922255882,2,0.8440390652057476,0.8172506281497893,0.8172506281497893,1.09461274792017,22,5
7,50-60-80-90-110-130-140,50|60|80|90|110|130|140,"[50, 60, 80, 90, 110, 130, 140]","[0, 1, 3, 4, 5, 7, 8]",0.033690813599147135,3.4201736166112817,3.4201736166112817,166.19467123589936,47.76337284415162,0.4782927884475928,335.5050398089368,15.785483958442619,2,0.9017437707643179,0.8792300488009792,0.8792300488009792,1.0967718095762031,23,10
7,50-70-90-110-120-130-140,50|70|90|110|120|130|140,"[50, 70, 90, 110, 120, 130, 140]","[0, 2, 4, 5, 6, 7, 8]",0.040114650042278176,3.421090324464352,3.421090324464352,152.2450503098,43.55607053505497,0.5213281838250269,302.0135979071393,17.191032345003727,2,0.8223124319991625,0.958340613902081,0.8223124319991625,1.0970657769134111,24,11
6,50-70-110-120-130-140,50|70|110|120|130|140,"[50, 70, 110, 120, 130, 140]","[0, 2, 5, 6, 7, 8]",0.04120363194413758,3.421437400337253,3.421437400337253,141.51041391536046,40.478055290679784,0.4976114507091657,280.680988296593,16.445625020435333,2,0.7642013542494932,0.9147429161769285,0.7642013542494932,1.0971770762437532,25,6
6,50-60-90-110-130-140,50|60|90|110|130|140,"[50, 60, 90, 110, 130, 140]","[0, 1, 4, 5, 7, 8]",0.035322775926089435,3.427865141506797,3.427865141506797,153.14752531560114,43.89843499425292,0.46004304718368016,308.4219368571615,15.217663061489018,2,0.8287760672080954,0.845682144066402,0.8287760672080954,1.0992383064923488,26,7
6,50-60-80-110-130-140,50|60|80|110|130|140,"[50, 60, 80, 110, 130, 140]","[0, 1, 3, 5, 7, 8]",0.03402544749164201,3.4373989592947196,3.4373989592947196,157.20054221595606,44.974231123056306,0.4523251840297566,316.4383598863027,14.970253606003258,2,0.8490864515045763,0.8314946477014906,0.8314946477014906,1.1022955847944338,27,8
5,50-60-110-130-140,50|60|110|130|140,"[50, 60, 110, 130, 140]","[0, 1, 5, 7, 8]",0.03589819184748902,3.4421415258685366,3.4421415258685366,143.01592173613327,40.84622717712489,0.4329823159075036,287.5651143742229,14.370256026905423,2,0.7711522181731048,0.795937283480552,0.7711522181731048,1.1038164179176233,28,2
7,50-70-80-90-120-130-140,50|70|80|90|120|130|140,"[50, 70, 80, 90, 120, 130, 140]","[0, 2, 3, 4, 6, 7, 8]",0.03746146956828793,3.454801971476942,3.454801971476942,158.4334088371795,44.974560316778955,0.49675828123065857,312.3509330106297,16.37853437255434,2,0.8490926664841956,0.9131745625233891,0.8490926664841956,1.1078763345758103,29,12
6,50-70-80-120-130-140,50|70|80|120|130|140,"[50, 70, 80, 120, 130, 140]","[0, 2, 3, 6, 7, 8]",0.03813990053827504,3.4575951083568603,3.4575951083568603,148.0425243988048,42.00062803516436,0.47180808661766016,291.7751004163102,15.594337992321073,2,0.7929466125116014,0.8673094327178952,0.7929466125116014,1.1087720299800738,30,9
8,50-60-70-80-90-110-120-140,50|60|70|80|90|110|120|140,"[50, 60, 70, 80, 90, 110, 120, 140]","[0, 1, 2, 3, 4, 5, 6, 8]",0.03231231935604823,3.4761236045262396,3.4761236045262396,181.6078327505484,51.38857236980425,0.4850586116370099,361.253488659772,15.94223744110448,2,0.9701853588552916,0.8916674411194332,0.8916674411194332,1.1147136968515208,31,7
7,50-60-70-90-110-120-140,50|60|70|90|110|120|140,"[50, 60, 70, 90, 110, 120, 140]","[0, 1, 2, 4, 5, 6, 8]",0.033462108269766526,3.4796148654992876,3.4796148654992876,169.19300743236522,47.81755095884583,0.4670733031380574,336.25071370390083,15.380204806156241,2,0.9027666210055827,0.8586056345206757,0.8586056345206757,1.115833264757815,32,13
7,50-80-90-110-120-130-140,50|80|90|110|120|130|140,"[50, 80, 90, 110, 120, 130, 140]","[0, 3, 4, 5, 6, 7, 8]",0.04110527519990798,3.4853783774663776,3.4853783774663776,156.14974050657284,43.83043949490615,0.5279515302332891,303.5481380047093,17.391351916649164,2,0.8274923530496329,0.9705160957960554,0.8274923530496329,1.1176814918241131,33,14
6,50-80-110-120-130-140,50|80|110|120|130|140,"[50, 80, 110, 120, 130, 140]","[0, 3, 5, 6, 7, 8]",0.04223755869785505,3.486586366690007,3.486586366690007,145.32781101302382,40.7731419684242,0.5045462306887755,282.3315001137192,16.654912509963566,2,0.7697724133612482,0.9274908962576787,0.7697724133612482,1.118068866465071,34,10
