target,target_model,k,subset_id,sizes_mm,n_validation_points,mean_signed_rho1_error_pct,mean_signed_rho2_error_pct,mean_abs_rho1_error_pct,mean_abs_rho2_error_pct,max_abs_rho1_error_pct,max_abs_rho2_error_pct,mean_fit_resid_rmse_ohm,max_fit_resid_rmse_ohm,bounds_hit_count,all_fits_success,zero_residual_is_not_validation,status,independent_tissue_truth
ct_reference,reference,2,50-140,50|140,16,0.002751496491909533,-3.846935435621467,0.008593205289325612,3.846935435621467,0.013561904609304953,8.728778595441389,6.641924034759075e-15,2.2469334198890888e-14,0,True,True,conditional_validation_metrics_only,False
ct_reference,reference,3,50-130-140,50|130|140,16,0.0025076250840673497,-3.7699502034848322,0.008578547036985212,3.7699502034848322,0.013270552022115467,8.568030562378793,0.0011474358791393564,0.0021148048951080156,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,4,50-120-130-140,50|120|130|140,16,0.0026205579953121616,-3.70432886857627,0.008589066563701592,3.70432886857627,0.01339383688345741,8.468686098086664,0.002057227828175238,0.004049478392761375,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,5,50-60-120-130-140,50|60|120|130|140,16,0.004483009891555895,-3.7384373467137517,0.008931008408139679,3.7384373467137517,0.0157875490913284,8.52418131634385,0.0019826398600847725,0.003847569028948655,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,6,50-60-110-120-130-140,50|60|110|120|130|140,16,0.004810397285139045,-3.6940528358956084,0.00896824974585958,3.6940528358956084,0.016162230613314676,8.454856501567164,0.0025080385339924733,0.0049073453836945505,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,16,0.006400040913211169,-3.717429908261701,0.009122606275092926,3.717429908261701,0.017966476636943618,8.4975383569872,0.0026661158972967943,0.0052159912391032655,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,16,0.007784763317884857,-3.7288219302435697,0.00946511805887812,3.7288219302435697,0.01953814917059482,8.517977582682823,0.0029006657883801053,0.005695225333025048,0,True,False,conditional_validation_metrics_only,False
ct_reference,reference,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,16,0.008529104350700478,-3.7120992166217013,0.009853338022951241,3.7120992166217013,0.020381190298035534,8.491412656854491,0.0032452892275805926,0.006381354262312803,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,2,50-140,50|140,16,-0.008029783532444157,0.050378038364880945,0.008678883868649956,0.05728478013600283,0.01733652524771312,0.15198645827647628,9.745892231186099e-15,3.1776437161565096e-14,0,True,True,conditional_validation_metrics_only,False
self_model4,variable_transverse,3,50-130-140,50|130|140,16,-0.008028674771153738,0.05007064022704774,0.008677539797729422,0.056899796474502856,0.017334556173076443,0.15150937160457456,9.640198781850227e-06,3.37778097540278e-05,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,4,50-120-130-140,50|120|130|140,16,-0.008029349419004517,0.0497759290432942,0.008678315807440773,0.05653424435810295,0.017335235329607457,0.15107243600067655,1.7804078767384228e-05,6.260129618370695e-05,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,5,50-60-120-130-140,50|60|120|130|140,16,-0.008216137455255984,0.05353829158428469,0.008887702956825866,0.06076182249993012,0.01771078637234913,0.16494526916708274,9.851455014460207e-05,0.0002809842686501058,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,6,50-60-110-120-130-140,50|60|110|120|130|140,16,-0.008224693196875327,0.05228698536721213,0.008897307547000438,0.05934615716424105,0.017726609440638086,0.1606459463511234,0.00010697619674783284,0.0003068825961441438,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,16,-0.008219268977022187,0.05215611876625906,0.008891779183592408,0.05921321048804537,0.017705921740707176,0.15995223020417448,9.916119364433774e-05,0.00028412281334146784,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,16,-0.008215143353261511,0.0520812247201026,0.008888064837429821,0.059141990782276416,0.017684338726509097,0.15950101710497933,9.309259653812553e-05,0.00026622161403734324,0,True,False,conditional_validation_metrics_only,False
self_model4,variable_transverse,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,16,-0.008214609825395874,0.0521103701364857,0.008887616385071934,0.0591692077516158,0.017680789396135044,0.15971286889551184,8.786281143966883e-05,0.0002512744902629951,0,True,False,conditional_validation_metrics_only,False
