frequency_hz,state,model,rmse_ohm,mean_bias_ohm,mape_pct
50000,exhale,previous_four_tissue,36.98122332718462,-35.9868387914305,50.78135056001074
50000,exhale,ts_without_fat,36.67841511579986,-35.65009705084891,50.2374855659374
50000,exhale,ts_with_fat,22.78162148797771,-21.181566640923954,31.254084919441418
50000,inhale,previous_four_tissue,39.65962766002388,-38.674172330930304,51.594015826639236
50000,inhale,ts_without_fat,39.28226553844664,-38.25504349931576,50.95832677619093
50000,inhale,ts_with_fat,24.690047269891444,-23.13705303307715,31.919726374527222
100000,exhale,previous_four_tissue,37.973077753019666,-36.9675009384273,52.1673591383919
100000,exhale,ts_without_fat,37.678434305463696,-36.639875046048985,51.63823584063708
100000,exhale,ts_with_fat,23.920654263686107,-22.457018414055018,33.03327480184953
100000,inhale,previous_four_tissue,40.68846393244295,-39.69634360695214,52.966309519400646
100000,inhale,ts_without_fat,40.321076702117104,-39.28843683100571,52.34763536561009
100000,inhale,ts_with_fat,25.906739591747655,-24.47555706908812,33.69806602404289
