request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs,Z_previous_four_tissue,Z_experiment,residual_ohm,residual_pct
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5149352523896,1.64260436717508e-10,1.4210854715202e-14,49.3634814314353,85.689,-36.174064747610394,-42.21552911996919
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0364614271474,2.60434182704198e-10,7.105427357601e-15,48.8093913088346,101.102,-52.0655385728526,-51.49803027917608
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2010957889253,2.41033982574286e-10,1.4210854715202e-14,37.9337388079925,88.678,-50.4769042110747,-56.92156364721205
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7531531513339,3.76532047198441e-10,1.4210854715202e-14,39.4122081608226,83.943,-44.1898468486661,-52.6426823542953
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2791022230949,3.61331149111453e-10,0.0,33.8852660072479,74.573,-40.29389777690509,-54.03282391335349
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4986785020541,3.5201368037768303e-10,7.105427357601e-15,31.9944637583594,65.581,-33.082321497945905,-50.44497872546302
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2865877920327,4.1143966396821004e-10,3.5527136788005e-15,29.7032907340914,62.821,-32.53441220796729,-51.78907086478613
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0689503896235,5.68926767454708e-10,0.0,27.4596960722713,60.925,-32.8560496103765,-53.92868216721626
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.4803154574929,4.43866921213396e-10,1.0658141036401501e-14,26.7859127405722,50.103,-22.622684542507102,-45.15235523323375
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.5755409913383,8.64515983547155e-11,2.8421709430404e-14,49.3634814314353,85.689,-3.1134590086616925,-3.6334407084476337
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,77.1082307165139,1.41967952363178e-10,5.6843418860808e-14,48.8093913088346,101.102,-23.993769283486102,-23.732239998700425
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,53.500740637334,1.47454068070251e-10,1.4210854715202e-14,37.9337388079925,88.678,-35.177259362666,-39.668530371305174
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,56.1305295094287,1.2509531133371901e-10,2.1316282072803e-14,39.4122081608226,83.943,-27.8124704905713,-33.13256673048533
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,44.2112611184698,1.68030446390896e-10,1.4210854715202e-14,33.8852660072479,74.573,-30.361738881530194,-40.71411755129899
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,43.6522084962343,1.91629501945478e-10,0.0,31.9944637583594,65.581,-21.9287915037657,-33.43772053455376
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,38.6500384985992,2.45533159980932e-10,1.4210854715202e-14,29.7032907340914,62.821,-24.170961501400797,-38.47592604606867
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,35.876765768155,3.25243004033069e-10,7.105427357601e-15,27.4596960722713,60.925,-25.048234231844994,-41.11322811956503
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,33.2775507578497,1.75920332916199e-10,7.105427357601e-15,26.7859127405722,50.103,-16.8254492421503,-33.581720140810525
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,49.0809526617027,1.27146942355949e-10,2.1316282072803e-14,48.9529676082627,83.134,-34.0530473382973,-40.961637041760646
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,48.3661298047045,1.42892062018574e-10,7.105427357601e-15,48.1749191740566,97.44,-49.0738701952955,-50.36316727760211
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,37.3913165413394,1.87761763970703e-10,1.4210854715202e-14,37.1698625588266,85.633,-48.241683458660596,-56.33538876211344
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,38.7112083972919,1.40751509541335e-10,7.105427357601e-15,38.4286261504777,79.63,-40.9187916027081,-51.386150449212735
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,33.0381487424349,2.23436965321758e-10,0.0,32.7173528152934,70.327,-37.2888512575651,-53.02209856465525
q4096_50000_exhale_ts_without_fat,literature,4096,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,110,30.8494137338129,2.05069031394561e-10,1.0658141036401501e-14,30.4478216666687,61.474,-30.624586266187098,-49.81713613265299
