frequency_hz,state,model,rmse_ohm,mean_bias_ohm,mape_pct
50000,exhale,previous_four_tissue,36.98122332718462,-35.9868387914305,50.78135056001074
50000,exhale,ts_without_fat,36.6784093193012,-35.65011602664495,50.23755329349684
50000,exhale,ts_with_fat,22.797548793614755,-21.203658660122006,31.27846529190943
50000,inhale,previous_four_tissue,39.65962766002388,-38.674172330930304,51.594015826639236
50000,inhale,ts_without_fat,39.282277193926724,-38.255080001767304,50.95841292274502
50000,inhale,ts_with_fat,24.706769039737868,-23.159125945119676,31.943276689026167
100000,exhale,previous_four_tissue,37.973077753019666,-36.9675009384273,52.1673591383919
100000,exhale,ts_without_fat,37.67842816157696,-36.63989291362586,51.63830085331493
100000,exhale,ts_with_fat,23.937576541015048,-22.47923371694768,33.0578281598927
100000,inhale,previous_four_tissue,40.68846393244295,-39.69634360695214,52.966309519400646
100000,inhale,ts_without_fat,40.321088024477774,-39.28847231591499,52.347719290973906
100000,inhale,ts_with_fat,25.92433227134859,-24.497756714265655,33.72178606265482
