request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5148710695426,1.73570358666392e-10,0
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0363803298847,2.88149141752214e-10,1.4210854715202e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2010232900998,2.44377274362781e-10,1.4210854715202e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7530895230787,2.89514127217716e-10,2.1316282072803e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2790654117418,2.25930056910866e-10,1.4210854715202e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4987427538269,2.19318949598812e-10,1.4210854715202e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2867247801101,4.45581292082381e-10,0
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0691417780836,3.88805284220508e-10,1.77635683940025e-14
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.4805695697899,4.97023258000372e-10,3.5527136788005e-15
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.6566201768069,1.79904025497226e-10,1.4210854715202e-14
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,77.170632198706,3.17226245930504e-10,2.8421709430404e-14
