state,rho2,rho1,rho3_fat,rmse_ohm,exitflag,CEM_solves,seconds,quadrature_max_difference_ohm,quadrature_within_tolerance
inhale,0.1,4.77880962115775,23.1086075206695,19.487574188827,2,72,149.4628377,0.0647486225469578,1
inhale,1.0,4.57776272478008,23.1086075206695,16.8460033090148,3,45,87.3003568,0.0660555706968751,1
inhale,5.0,4.30974736537341,23.1086075206695,13.5970113220202,3,54,108.4669925,0.0685746539169969,1
inhale,10.0,4.20045876501864,23.1086075206695,12.4680995223373,3,63,184.1940347,0.0696021508276772,1
inhale,20.0,4.11580297259319,23.1086075206695,11.7027364580002,3,45,115.0781565,0.0703888560474297,1
inhale,40.0,4.05801280579063,23.1086075206695,11.2394752767795,2,63,148.5015889,0.0709195372046167,1
inhale,60.0,4.0347865091188,23.1086075206695,11.0670905247495,3,54,132.2239637,0.0711305872318775,1
inhale,100.0,4.01401898220738,23.1086075206695,10.9196480302234,3,45,109.1598839,0.0713174044082336,1
exhale,0.1,4.51249242776893,23.1086075206695,17.5952389479777,3,54,111.2178271,0.0668910759842873,1
exhale,1.0,4.31827565943998,23.1086075206695,15.078762867195,3,45,95.2340471,0.068224479725842,1
exhale,5.0,4.06256599613484,23.1086075206695,12.123459344062,2,63,131.0843517,0.0706799340683233,1
exhale,10.0,3.9597411890472,23.1086075206695,11.1575373217277,3,45,94.2414032,0.0716618734032721,1
exhale,20.0,3.88082161662802,23.1086075206695,10.5298726225352,3,45,90.8393171,0.0724054173511774,1
exhale,40.0,3.82736438166094,23.1086075206695,10.1641370235333,2,63,124.6421046,0.0729023662727712,1
exhale,60.0,3.80598097709363,23.1086075206695,10.0314367647543,2,63,147.7486206,0.0730988838869564,1
exhale,100.0,3.78691657811494,23.1086075206695,9.91963525229468,3,54,156.6220703,0.0732721892929078,1
