state,model,L_mm,50000,100000,change_ohm,change_pct
exhale,reference,50,48.736850252964,47.3896699716332,-1.3471802813308003,-2.7641923397560344
exhale,reference,60,47.854158938204,46.5102293074436,-1.3439296307603996,-2.808386273167751
exhale,reference,70,36.7946424479317,35.7679550477083,-1.0266874002234019,-2.7903176438696824
exhale,reference,80,37.9611445517815,36.9014508775348,-1.0596936742467022,-2.7915219279050194
exhale,reference,90,32.1782424043392,31.2783128163266,-0.8999295880126006,-2.7967021215902275
exhale,reference,110,29.7845196952252,28.9387579685695,-0.8457617266556987,-2.8396016968213322
exhale,reference,120,27.167851696519,26.3999727818359,-0.7678789146831022,-2.8264248614898397
exhale,reference,130,24.8421985419765,24.136902970012,-0.705295571964502,-2.8391028707573764
exhale,reference,140,23.8683409512138,23.1872387581288,-0.6811021930849996,-2.853579955461307
exhale,variable_transverse,50,48.7375592203083,47.3903376537558,-1.3472215665524985,-2.764236839318636
exhale,variable_transverse,60,47.8554350067659,46.511431781812,-1.3440032249539016,-2.8084651717487965
exhale,variable_transverse,70,36.7965091553533,35.7697160870427,-1.026793068310596,-2.790463258282244
exhale,variable_transverse,80,37.9639211583791,36.9040725928679,-1.0598485655112029,-2.7917257574361
exhale,variable_transverse,90,32.1821612713274,31.2820155732682,-0.9001456980592017,-2.7970330844783375
exhale,variable_transverse,110,29.7917403281453,28.9455886647232,-0.8461516634220985,-2.840222337137886
exhale,variable_transverse,120,27.1774039391557,26.4090118363688,-0.7683921027868976,-2.827319726737552
exhale,variable_transverse,130,24.8533199419455,24.1474308256964,-0.7058891162491001,-2.840220613978237
exhale,variable_transverse,140,23.8817023254173,23.1998870382757,-0.6818152871415997,-2.8549693729996104
inhale,reference,50,49.1093526097316,47.7502607005116,-1.3590919092199982,-2.767480809654734
inhale,reference,60,48.4304395080946,47.0680546007894,-1.3623849073051986,-2.81307566303934
inhale,reference,70,37.4886462774979,36.4397408599374,-1.0489054175604977,-2.7979282308470292
inhale,reference,80,38.8551682040103,37.766977553759,-1.088190650251299,-2.8006329673770023
inhale,reference,90,33.239972547707,32.3061448175497,-0.9338277301572973,-2.8093516888951697
inhale,reference,110,31.1875995950666,30.2970036922477,-0.8905959028189017,-2.8556090060864454
inhale,reference,120,28.7967074796323,27.9769510493149,-0.8197564303174012,-2.8467019394394617
inhale,reference,130,26.5351141041071,25.7760081460147,-0.7591059580924018,-2.860760104946779
inhale,reference,140,25.7664242954944,25.0250173553832,-0.7414069401112009,-2.8774149319618467
inhale,variable_transverse,50,49.1133921296528,47.7541238462573,-1.359268283395501,-2.7676123038034395
inhale,variable_transverse,60,48.4372390071486,47.0745614316565,-1.3626775754921,-2.813284991927367
inhale,variable_transverse,70,37.4977240123659,36.4484373685137,-1.0492866438521986,-2.798267552201749
inhale,variable_transverse,80,38.8680098087246,37.7792907830335,-1.0887190256910984,-2.801067075594687
inhale,variable_transverse,90,33.2567949114686,32.3222903232995,-0.934504588169105,-2.8099658751145653
inhale,variable_transverse,110,31.2151689602162,30.3235118616146,-0.8916570986015984,-2.8564865362030147
inhale,variable_transverse,120,28.8318153668257,28.0107283558677,-0.8210870109580028,-2.847850544654768
inhale,variable_transverse,130,26.5742233348617,25.8136644068642,-0.7605589279975007,-2.862017521316428
inhale,variable_transverse,140,25.8128847342316,25.0697568949875,-0.7431278392440994,-2.878902714265814
