point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,50,47.7541238462573,47.2154431697975,0.320184959405815,1.59104255269704e-10,2.8421709430404e-14,1.7019514
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,60,47.0745614316565,47.045035612478,0.495933293435149,7.9022632122382e-11,3.5527136788005e-14,3.4394723
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,70,36.4484373685137,35.885704077683,0.597247218193395,1.1963641495781e-10,0,5.0473974
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,80,37.7792907830335,36.9947657562456,0.769983635946501,3.8231932494226e-10,4.2632564145606e-14,6.5806177
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,90,32.3222903232995,31.3489460680611,0.914661552340474,1.6200305309026e-10,1.4210854715202e-14,8.1541126
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,110,30.3235118616146,29.3703326069764,1.20847380585764,3.54405638055481e-10,7.105427357601e-15,9.5994333
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,120,28.0107283558677,26.5869141299056,1.40246832583475,1.97196405308332e-10,0,11.092616
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,130,25.8136644068642,24.3782363673081,1.45449417998383,4.41127195118088e-10,1.4210854715202e-14,12.5331989
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,140,25.0697568949875,23.4896957230751,1.62723401767121,2.66398694954605e-10,3.5527136788005e-15,14.0283639
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,50,47.7502607005116,47.2154559403806,0.316308876729821,1.4424389250041e-10,1.4210854715202e-14,1.425084
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,60,47.0680546007894,47.0447164413278,0.489713422030864,2.03098226769848e-10,1.4210854715202e-14,2.9066627
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,70,36.4397408599374,35.884683837256,0.589521038514755,1.76341295668723e-10,7.105427357601e-15,4.3724228
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,80,37.766977553759,36.992931288697,0.759534911510987,3.04711495919859e-10,1.4210854715202e-14,5.8165828
