model,electrodes,state,rho1,rho2,ratio,train_rmse,rho1_at_bound,rho2_at_bound,rho1_bound_side,rho2_bound_side,condition_log_parameters,smallest_singular_value_ohm,contrast_search_grid
variable_transverse,PEM,inhale,5.812389704844567,24.07407380658437,4.141854732575634,8.674568590889306,False,True,,upper,61.94541550556872,3.59477677362438,1601.0
variable_transverse,PEM,exhale,5.5783357886066725,15.68268839583472,2.811356108727879,8.257840868522793,False,False,,,49.17637075135941,4.283716895805864,1601.0
reference,PEM,inhale,5.815745624397034,24.07407380658436,4.13946471551192,8.678180251611273,False,True,,upper,62.82973592357082,3.545229746221775,1601.0
reference,PEM,exhale,5.577459904918642,16.038402188704854,2.8755746275398466,8.257546670410145,False,False,,,50.61888024363935,4.164371207358475,1601.0
planar_nominal,PEM,inhale,6.877952287030125,24.07407380658437,3.5001804028186223,13.29822371713115,False,True,,upper,64.89152403300712,3.418274917785031,1601.0
planar_nominal,PEM,exhale,6.549189716297956,24.07407380658437,3.6758858499204776,11.709462348298148,False,True,,upper,66.25060306897069,3.191420026722181,1601.0
variable_transverse,CEM,inhale,5.683338561686853,24.07407380658374,,2.746559200515781,False,True,,,64.63120895875927,,
variable_transverse,CEM,exhale,5.520078388616526,10.26070627667159,,2.257764666659691,False,False,,,41.11177264686444,,
reference,CEM,inhale,5.686550059590077,24.074073805682698,,2.7475748704172394,False,True,,,65.59829105450498,,
reference,CEM,exhale,5.519336272970223,10.399197678356611,,2.257126407226758,False,False,,,42.13789348657499,,
