model,evaluation,rho1,rho2,relative_residual,reciprocity_abs_ohm,elapsed_seconds
variable_transverse,1,4,16,5.22162604204395e-10,2.1316282072803e-14,11.6754802
variable_transverse,2,5.68333856168685,24.0740738065837,4.16133261165132e-10,4.2632564145606e-14,11.5361988
variable_transverse,3,5.52007838861653,10.2607062766716,5.88278139361045e-10,5.6843418860808e-14,11.4737572
variable_transverse,4,5.60869901503446,24.0740738065806,4.66018097321774e-10,5.6843418860808e-14,11.907434
variable_transverse,5,5.60869901503446,9.74127148952901,6.12174645452375e-10,5.6843418860808e-14,12.7433785
variable_transverse,6,5.68390692396066,24.0740738065837,5.12014370826601e-10,5.6843418860808e-14,11.7675619
variable_transverse,7,5.68277025624643,24.0740738065837,4.71912161818698e-10,7.105427357601e-14,11.6304579
variable_transverse,8,5.68333856168685,24.0764813343388,4.73924595929691e-10,5.6843418860808e-14,10.8334347
variable_transverse,9,5.68333856168685,24.0716665195694,5.78583047186138e-10,4.2632564145606e-14,10.9029052
reference,10,4,16,3.86819626193541e-10,1.4210854715202e-14,11.1776076
reference,11,5.81574562439704,24.0740738065844,6.98845593590292e-10,4.2632564145606e-14,11.5363665
reference,12,5.6898888579326,24.0678156600927,4.96029478759032e-10,2.8421709430404e-14,11.4440071
reference,13,5.68658173792353,24.0678157547354,5.29797209896658e-10,4.2632564145606e-14,11.4434628
reference,14,5.686550782823,24.0739142885903,4.35468667547703e-10,4.2632564145606e-14,11.014159
reference,15,5.68655005727532,24.0740737794139,3.9311186009178e-10,5.6843418860808e-14,11.0394945
reference,16,5.68655005954461,24.0740738065835,5.57937961801064e-10,7.105427357601e-14,10.8799343
reference,17,5.68655005987242,24.0740738065838,4.87639251680581e-10,4.2632564145606e-14,11.0630941
reference,18,5.68655005987245,24.0740738065837,6.65277578159769e-10,4.2632564145606e-14,10.9842392
reference,19,5.68655005987214,24.0740738065836,3.40007299431941e-10,4.2632564145606e-14,11.0923277
reference,20,5.68655005987245,24.0740738065835,5.34947377388002e-10,2.8421709430404e-14,10.7672562
reference,21,5.68655005987245,24.0740738065835,4.57987488759426e-10,5.6843418860808e-14,10.7679868
reference,22,3.71134809512603,15.3137875396276,4.63731564830742e-10,2.8421709430404e-14,10.911034
reference,23,5.2653970626932,18.0167707747113,6.09744046056915e-10,4.2632564145606e-14,10.9466376
reference,24,5.67814934532736,18.9019359909994,9.35090046407535e-10,7.105427357601e-14,10.80509
reference,25,5.70559415147861,20.4583758202969,8.4526121278562e-10,2.8421709430404e-14,10.8153917
reference,26,5.69318529625587,22.6571521155853,3.78561671501264e-10,2.8421709430404e-14,10.7342043
reference,27,5.68822643922573,23.7069704641161,5.81880150069147e-10,5.6843418860808e-14,10.8534718
reference,28,5.68670824957805,24.0384570996366,6.14802916041703e-10,4.2632564145606e-14,10.9531035
reference,29,5.68655758124348,24.072291718559,3.79159189671488e-10,7.105427357601e-14,10.8152964
reference,30,5.68655007296233,24.0740652774183,1.07420135738518e-09,2.8421709430404e-14,10.8413231
reference,31,5.68655005989582,24.0740738053821,4.11904789787357e-10,4.2632564145606e-14,11.1248876
reference,32,5.68655005958577,24.0740738065838,4.23454146684674e-10,2.8421709430404e-14,10.9669703
reference,33,5.68655005959008,24.0740738056827,4.01035332000573e-10,4.2632564145606e-14,10.9318581
reference,34,5.57745990491864,16.0384021887049,7.5454202568613e-10,2.8421709430404e-14,10.7888808
reference,35,5.47089783299145,14.5154583183753,3.59027089136328e-10,5.6843418860808e-14,10.8783807
reference,36,5.49397781488423,12.0925675360149,4.48094433104157e-10,7.105427357601e-14,11.6578734
reference,37,5.50978897362037,11.0050118281075,4.19894950300251e-10,4.2632564145606e-14,11.3719064
reference,38,5.51651841016973,10.5758165523709,3.46718016706275e-10,2.8421709430404e-14,11.0473114
reference,39,5.51887997976862,10.4276777588552,3.27232485663873e-10,4.2632564145606e-14,11.2822492
reference,40,5.51931951428047,10.4002446736904,5.0485719146871e-10,3.5527136788005e-14,11.2944169
reference,41,5.51933627173492,10.3991977896419,5.76541746948483e-10,5.6843418860808e-14,11.2923535
reference,42,5.51933629005748,10.3991966026098,4.20260393742919e-10,5.6843418860808e-14,11.31471
reference,43,5.5193362759808,10.399197492883,3.73373822955935e-10,2.8421709430404e-14,11.6476365
reference,44,5.51933627246163,10.3991977154515,4.3318677814315e-10,8.5265128291212e-14,11.5133355
reference,45,5.51933627472982,10.3991975670725,5.58933323675124e-10,5.6843418860808e-14,11.227429
reference,46,5.51933627297022,10.3991976783566,2.20250801274212e-10,2.8421709430404e-14,11.0195514
reference,47,5.51933627393812,10.3991976041667,4.08771427451955e-10,7.105427357601e-14,11.2999299
reference,48,5.51933627305865,10.3991976598089,4.42260030137276e-10,5.6843418860808e-14,11.1277309
reference,49,5.51933627283837,10.39919767372,3.40878600939603e-10,4.2632564145606e-14,10.880883
reference,50,5.51933627278843,10.3991976771998,3.14997230312464e-10,5.6843418860808e-14,10.9343428
reference,51,5.09360848209663,17.5290669046472,5.26956695068189e-10,4.2632564145606e-14,10.7349653
reference,52,5.42163824571723,17.3047075478324,4.20626332860335e-10,4.2632564145606e-14,10.9789934
reference,53,5.49379794615052,11.7359045562763,6.08020879819506e-10,4.2632564145606e-14,11.0846978
reference,54,5.51448704987026,10.6887595173917,5.94782597233516e-10,4.9737991503207e-14,11.18172
reference,55,5.51841104675099,10.4568447515862,4.08428735849823e-10,7.105427357601e-14,10.8897236
reference,56,5.51927276501142,10.40316147639,4.73793595278056e-10,4.2632564145606e-14,10.9656413
reference,57,5.51933596121051,10.3992173935454,3.08733917983156e-10,4.2632564145606e-14,11.0220702
reference,58,5.51933629026009,10.3991965851842,3.16444774202375e-10,5.6843418860808e-14,10.88097
reference,59,5.51933629014878,10.3991965846013,2.62785439273219e-10,7.105427357601e-14,11.0729389
