model,electrodes,state,delta_rho1_ptp,delta_rho2_ptp,delta_rho1_percent,delta_rho2_percent,relative_residual_percent,condition_log,rho1_omitted_delta_rho2_ptp,rho1_omitted_residual_percent,rho2_outside_baseline_box_count
variable_transverse,PEM,inhale,0.0027527130293891634,1.1852793555919456,0.047359402400269285,4.9234681471640505,14.78501673883606,61.94541550556873,1.4970825666406575,22.454452457536547,100
variable_transverse,PEM,exhale,0.0014632796312535345,0.3675700733966558,0.02623147273138652,2.3437950440581443,23.501714613562925,49.17637075135942,0.41281762166882263,27.219630686774494,0
reference,PEM,inhale,0.002749350407478186,1.2025084318960233,0.04727425484265801,4.995035080299257,14.793951321920128,62.8297359235708,1.5181976092526757,22.44397236122026,100
reference,PEM,exhale,0.0014585804764307674,0.38642744762101855,0.02615133952185791,2.409388685196849,23.479679493628915,50.61888024363935,0.43330512274681393,27.14839098357257,0
planar_nominal,PEM,inhale,0.0034578828504510817,1.4988313229425767,0.05027488860269752,6.225914795245993,17.51426372668708,64.8915240330071,1.8769848150150845,27.69521094176692,101
planar_nominal,PEM,exhale,0.0016129313250830275,0.8736487144652076,0.024627952387288075,3.6290023927161874,28.231849616559796,66.25060306897068,0.9931487158367668,32.71255643720557,107
variable_transverse,CEM,inhale,0.003013704960567131,1.1970916795155575,0.053027017972912094,4.972534724007445,13.805400679813006,64.63120893661495,1.570383267714474,24.11495115713236,101
variable_transverse,CEM,exhale,0.001510084311314129,0.19916742662003425,0.027356211361567188,1.9410693693947254,25.124221169015172,41.11177264686446,0.23144578811415376,29.870523773103034,0
reference,CEM,inhale,0.0030096917202446765,1.2154433954314974,0.052926496534906685,5.048764929617319,13.804013129176846,65.59829105450493,1.5935710635200588,24.089947322111335,101
reference,CEM,exhale,0.0015023889789644277,0.2067191206339499,0.027220464647571094,1.987837206558591,25.063256345831345,42.137893486574995,0.23955450176308066,29.709333204460595,0
