state,k,subset_id,sizes_mm,rho1_hat,rho2_hat,bounds_hit_rho1_lower,bounds_hit_rho1_upper,bounds_hit_rho2_lower,bounds_hit_rho2_upper,within_literature_bounds,fit_resid_rmse_ohm,fit_resid_norm_ohm,all_size_rmse_ohm,heldout_rmse_ohm,heldout_count,nfev,optimality,success,start_used,n_starts,independent_tissue_truth,status
inhale,2,50-140,50|140,4.9891068338886031,99.999999999999957,False,False,False,True,False,1.3058942208351172,1.8468133181296682,12.431589170832218,14.078803542809386,7,7,3.5398675427038076e-09,True,best_grid_3,9,False,conditional_real_inverse_no_tissue_truth
inhale,3,50-130-140,50|130|140,5.2204038010029175,99.999999999999957,False,False,False,True,False,6.023272686404896,10.43261432069516,10.046564290238278,11.543841393983234,6,6,9.5208032753206291e-11,True,best_grid_2,9,False,conditional_real_inverse_no_tissue_truth
inhale,4,50-120-130-140,50|120|130|140,5.3459778538067475,99.999999999999957,False,False,False,True,False,6.1186031333912245,12.237206266782449,8.9167857523059109,10.637973455098969,5,9,5.0024008347982023e-11,True,best_grid_7,9,False,conditional_real_inverse_no_tissue_truth
inhale,5,50-60-120-130-140,50|60|120|130|140,5.5105251281749439,99.999999999999872,False,False,False,True,False,6.2783005876536615,14.038706897170464,7.7205987302596162,9.2111822183490091,4,8,3.6734656246868593e-08,True,old_fit,9,False,conditional_real_inverse_no_tissue_truth
inhale,6,50-60-110-120-130-140,50|60|110|120|130|140,5.5351113487865087,99.999999999999957,False,False,False,True,False,5.7924518155887421,14.188551307850419,7.5782207521748797,10.255890660213154,3,9,2.9705422563041397e-10,True,best_grid_7,9,False,conditional_real_inverse_no_tissue_truth
inhale,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,5.6946720703988341,99.999999999999957,False,False,False,True,False,7.3461273739011359,19.436026130746409,6.9508788830544743,5.3419726443972131,2,8,2.9790906285747067e-10,True,best_grid_3,9,False,conditional_real_inverse_no_tissue_truth
inhale,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,5.7391725145149595,99.999999999999957,False,False,False,True,False,7.0276698051449147,19.877251900631649,6.8792247371890305,5.5505363472025806,1,9,7.985613105891285e-10,True,best_grid_5,9,False,conditional_real_inverse_no_tissue_truth
inhale,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,5.7821555141904302,99.999999999999417,False,False,False,True,False,6.8562690827667012,20.568807248300104,6.8562690827667012,NaN,0,7,5.8851660976720154e-10,True,best_grid_1,9,False,conditional_real_inverse_no_tissue_truth
exhale,2,50-140,50|140,4.7951084735042961,99.999999999999957,False,False,False,True,False,0.15784630803347097,0.22322838959145586,11.173406470237147,12.669171121992589,7,11,1.5420228529500834e-11,True,best_grid_4,9,False,conditional_real_inverse_no_tissue_truth
exhale,3,50-130-140,50|130|140,4.9608416719856763,99.999999999999957,False,False,False,True,False,4.249723888430589,7.3607376929009503,9.4759625083967034,11.209849313298601,6,7,1.2432130726673737e-10,True,best_grid_4,9,False,conditional_real_inverse_no_tissue_truth
exhale,4,50-120-130-140,50|120|130|140,5.0437437142143429,99.999999999999957,False,False,False,True,False,4.2433277931198905,8.486655586239781,8.7061886978603322,11.046774839248819,5,9,7.4976107248998507e-09,True,best_grid_6,9,False,conditional_real_inverse_no_tissue_truth
exhale,5,50-60-120-130-140,50|60|120|130|140,5.239201869561775,99.999999999999957,False,False,False,True,False,5.273132051380621,11.791081721219982,7.2197206420875304,9.0841852577924538,4,10,1.183641338445477e-09,True,best_grid_7,9,False,conditional_real_inverse_no_tissue_truth
exhale,6,50-60-110-120-130-140,50|60|110|120|130|140,5.2526437189004742,99.999999999999773,False,False,False,True,False,4.8355482622062862,11.84462586900732,7.1398356883469294,10.303722966846738,3,8,5.2281709575683826e-08,True,best_grid_3,9,False,conditional_real_inverse_no_tissue_truth
exhale,7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,5.4495584197970794,57.63950990384923,False,False,False,False,False,6.9110187717353746,18.284836976110864,6.464949066112295,4.5730096546959649,2,11,1.3853027928342039e-07,True,best_grid_6,9,False,conditional_real_inverse_no_tissue_truth
exhale,8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,5.4978767341870487,50.339190958534012,False,False,False,False,False,6.5898689829977082,18.638964180034304,6.4087025200254617,4.7151061713416738,1,7,9.0242818595132586e-08,True,best_grid_3,9,False,conditional_real_inverse_no_tissue_truth
exhale,9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,5.5230070145919514,59.724237225827615,False,False,False,False,False,6.3900162568412391,19.170048770523714,6.3900162568412391,NaN,0,17,7.0570491764157374e-06,True,best_grid_1,9,False,conditional_real_inverse_no_tissue_truth
