tissue,frequency_hz,conductivity_S_m,rho_ohm_m,source_line
Bone (Cortical),50000,0.020641911403089824,48.44512605796346,12
Bone (Cortical),100000,0.020791026398983673,48.097673525578465,12
Heart Muscle,50000,0.19543524171093257,5.116784420483874,52
Heart Muscle,100000,0.21510885640192495,4.648809057547718,52
Lung (Deflated),50000,0.26196642649624746,3.8172830517819216,65
Lung (Deflated),100000,0.2716140934232483,3.681694080732877,65
Lung (Inflated),50000,0.10265600348733721,9.741271489527174,66
Lung (Inflated),100000,0.10735081570870106,9.315252924705513,66
Muscle,50000,0.35182781036018673,2.8422994730753133,74
Muscle,100000,0.36184869972103617,2.763585998155971,74
