frequency_hz,state,model,rmse_ohm,mean_bias_ohm,mape_pct
50000,exhale,bones,36.99582221208725,-36.00368368914863,50.809518015847466
50000,exhale,bones_heart,36.98122332718462,-35.9868387914305,50.781350560010736
50000,exhale,two_tissue,37.47411915358497,-36.527450057760134,51.64651581998289
50000,inhale,bones,39.682165376355336,-38.70001094909929,51.634387793716904
50000,inhale,bones_heart,39.65962766002388,-38.674172330930304,51.59401582663926
50000,inhale,two_tissue,40.26238553219873,-39.33395281985034,52.586019826282424
100000,exhale,bones,37.9857854828204,-36.982163344050754,52.19187677169916
100000,exhale,bones_heart,37.973077753019666,-36.9675009384273,52.1673591383919
100000,exhale,two_tissue,38.4509348326637,-37.4916121667556,53.005943561846756
100000,inhale,bones,40.70804913267354,-39.71878830939666,53.00137739871324
100000,inhale,bones_heart,40.68846393244295,-39.69634360695214,52.96630951940065
100000,inhale,two_tissue,41.27144290290733,-40.33431569160918,53.925315779429276
