request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874
50000_inhale_bones,literature,50000,inhale,bones,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.8422994730753133,9.741271489527174,48.44512605796346,5.116784420483874
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874
50000_exhale_bones,literature,50000,exhale,bones,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.8422994730753133,3.8172830517819216,48.44512605796346,5.116784420483874
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718
100000_inhale_bones,literature,100000,inhale,bones,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.763585998155971,9.315252924705513,48.097673525578465,4.648809057547718
100000_exhale_two_tissue,literature,100000,exhale,two_tissue,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718
100000_exhale_bones,literature,100000,exhale,bones,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718
100000_exhale_bones_heart,literature,100000,exhale,bones_heart,2.763585998155971,3.681694080732877,48.097673525578465,4.648809057547718
equal_two_tissue,equal_material_limit,50000,control,two_tissue,4.0,16.0,4.0,4.0
equal_bones,equal_material_limit,50000,control,bones,4.0,16.0,4.0,4.0
equal_bones_heart,equal_material_limit,50000,control,bones_heart,4.0,16.0,4.0,4.0
