source_id,zotero_key,citation,theme,study_type,population_or_material,comparator,outcomes,key_findings,limitations,locator,representation,appraisal_status
Kubicek_1966_TV2CRANX,TV2CRANX,"Kubicek W.G., Karnegis J.N., Patterson R.P., Witsoe D.A., Mattson R.H. Development and evaluation of an impedance cardiac output system. 1966. Aerospace Medicine. 37(12). 1208-1212.",Валидизация сердечного выброса у взрослых,техническая разработка и экспериментальная оценка метода,экспериментальные и ранние клинические наблюдения,референтные оценки сердечного выброса,"dZ/dt, время изгнания и расчет ударного объема","Классическая формула связывает ударный объем с базовым импедансом, максимумом dZ/dt и временем изгнания; авторы осторожнее оценивали абсолютные значения, чем относительные изменения.","В Zotero размещен 192-страничный технический отчет NASA 1967 г., связанный с работой 1966 г., а не журнальная версия статьи.","PDF pp. 4, 13",pdf,core_extracted
Boer_1979_VK3PCFJV,VK3PCFJV,"Boer P., Roos J.C., Geyskes G.G., Mees E.J. Measurement of cardiac output by impedance cardiography under various conditions. 1979. American Journal of Physiology-Heart and Circulatory Physiology. 237(4). H491-H496. doi:10.1152/ajpheart.1979.237.4.H491.",Валидизация сердечного выброса у взрослых,сравнительная физиологическая валидизация,испытуемые в различных экспериментальных условиях,ИКГ против референтного метода,абсолютный CO и его изменения,"Связь была умеренной для абсолютного CO (r=0,61) и более высокой для относительных изменений (r=0,84).",Корреляция не характеризует согласие; выводы ограничены исследованными условиями.,Zotero metadata abstract,pdf,core_extracted
BERNSTEIN_1986_WX77UXWE,WX77UXWE,BERNSTEIN D.P. A new stroke volume equation for thoracic electrical bioimpedance. 1986. Critical Care Medicine. 14(10). 904-909. doi:10.1097/00003246-198610000-00017.,Теория и методология ИКГ,теоретическая модификация уравнения ударного объема,валидационные данные трансторакальной биоимпедансометрии,цилиндрическая и усеченно-коническая модели грудной клетки,расчетный SV и чувствительность к антропометрии,Предложена модель усеченного конуса с поправкой на рост и массу; малая ошибка длины проводящего сегмента усиливается из-за кубической зависимости.,Геометрические допущения и антропометрические поправки ограничивают переносимость уравнения между популяциями.,"PDF pp. 1, 3",pdf,core_extracted
Goldstein_1986_FQM7ZRAS,FQM7ZRAS,"Goldstein D.S., Cannon R.O., Zimlichman R., Keiser H.R. Clinical evaluation of impedance cardiography. 1986. Clinical Physiology. 6(3). 235-251. doi:10.1111/j.1475-097X.1986.tb00622.x.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Smith_1988_U3TUKU8E,U3TUKU8E,"Smith S.A., Russell A.E., West M.J., Chalmers J. Automated non-invasive measurement of cardiac output: comparison of electrical bioimpedance and carbon dioxide rebreathing techniques. 1988. Heart. 59(3). 292-298. doi:10.1136/hrt.59.3.292.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Sherwood_Chair_1990_N5ZN33ZD,N5ZN33ZD,"Sherwood(Chair) A., Allen M.T., Fahrenberg J., Kelsey R.M., Lovallo W.R., van Doornen L.J.P. Methodological Guidelines for Impedance Cardiography. 1990. Psychophysiology. 27(1). 1-23. doi:10.1111/j.1469-8986.1990.tb02171.x.",Клинический контекст мониторинга,методологические рекомендации,исследования с применением импедансной кардиографии,"варианты приборов, электродов и обработки",стандартизация измерений и отчетности,"Теоретическая основа и процедуры ИКГ требуют стандартизации; параметры возбуждения, электроды и обработку необходимо подробно описывать.",Рекомендации отражают уровень аппаратуры и алгоритмов конца 1980-х годов.,PDF p. 3; Zotero metadata abstract,pdf,core_extracted
MILES_1990_MCVHV3JZ,MCVHV3JZ,"MILES D.S., GOTSHALL R.W., QUINONES J.D., WULFECK D.W., KREITZER R.D. Impedance cardiography fails to measure accurately left ventricular ejection fraction. 1990. Critical Care Medicine. 18(2). 221-228. doi:10.1097/00003246-199002000-00019.",Оценка систолической функции и ФВ,сравнительное исследование диагностической валидности,здоровые участники и 95 пациентов,ИКГ против радионуклидной вентрикулографии,LVEF и нарушения локальной сократимости,"Корреляции LVEF были от −0,17 до 0,16; ИКГ не отражала нарушения движения стенки и не подходила для клинической диагностики LVEF.",Оценивается ранний алгоритм ИКГ; результат не исключает ценности отдельных временных показателей как скрининговых маркеров.,PDF p. 1,pdf,core_extracted
Thomas_1992_2QCNIHMN,2QCNIHMN,Thomas S.H. Impedance cardiography using the Sramek–Bernstein method: accuracy and variability at rest and during exercise. 1992. British Journal of Clinical Pharmacology. 34(6). 467-476.,Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
Fuller_1992_CF4I8SVI,CF4I8SVI,Fuller H.D. The validity of cardiac output measurement by thoracic impedance: a meta-analysis. 1992. Clinical and Investigative Medicine. 15(2). 103-112.,Сводная валидность методов,систематический обзор/метаанализ,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,metadata,context_only
Pickett_1992_8JKRBJB7,8JKRBJB7,"Pickett B.R., Buell J.C. Validity of cardiac output measurement by computer-averaged impedance cardiography, and comparison with simultaneous thermodilution determinations. 1992. The American Journal of Cardiology. 69(16). 1354-1358. doi:10.1016/0002-9149(92)91235-V.",Валидизация сердечного выброса у взрослых,сравнительное/валидационное исследование,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Не извлекалось для основного синтеза.,Контекстный источник корпуса; числовые результаты не использованы в основных тезисах обзора.,Детальная оценка риска смещения не выполнялась; источник не поддерживает центральный тезис обзора.,bibliographic record/title,pdf,context_only
BOWLING_1993_SXQNFSU4,SXQNFSU4,"BOWLING L.S., SAGEMAN W.S., OʼCONNOR S.M., COLE R., AMUNDSON D.E. Lack of agreement between measurement of ejection fraction by impedance cardiography versus radionuclide ventriculography. 1993. Critical Care Medicine. 21(10). 1523-1527. doi:10.1097/00003246-199310000-00021.",Оценка систолической функции и ФВ,сравнительное исследование,20 взрослых,ИКГ против радионуклидной вентрикулографии,LVEF и пределы согласия,"Несмотря на r²=0,55, средняя разность составляла −8,85 п.п., а пределы согласия — примерно −23,2…5,5 п.п.; методы не были взаимозаменяемы.",Небольшая выборка и ранний алгоритм расчета.,PDF p. 1,pdf,core_extracted
